community,RELEVE_NR,ALTITUDE,LONGITUDE,LATITUDE,bio1,bio17
Temperate,1585,2180,-4.8131414,43.1991392,1.950000048,271.6000061
Temperate,1587,2227,-4.8141556,43.1984748,1.950000048,271.6000061
Temperate,1588,2210,-4.8167393,43.1980286,1.950000048,271.6000061
Temperate,1594,2512,-4.8181167,43.180169,1.450000048,262.7999878
Temperate,1596,2380,-4.811437,43.1806352,1.450000048,266
Temperate,1606,2225,-4.8252142,43.1838198,2.650000095,260.1000061
Temperate,1608,2035,-4.8310599,43.1941354,3.25,261.2000122
Temperate,1609,2000,-4.8183059,43.1707924,3.349999905,255.1000061
Temperate,1618,1925,-4.8223372,43.1698368,3.349999905,255.1000061
Temperate,1619,2105,-4.8289457,43.1855701,2.650000095,260.1000061
Temperate,1628,2175,-4.8603277,43.1836682,2.950000048,226
Temperate,1631,2425,-4.8659853,43.1827747,1.25,227.6999969
Temperate,1632,2265,-4.8360731,43.177451,1.450000048,251.6999969
Temperate,1633,2325,-4.8345973,43.176241,1.450000048,251.6999969
Temperate,1650,2310,-4.8443745,43.2026647,1.950000048,249.6999969
Temperate,1665,2152,-4.7972497,43.209547,3.849999905,264.6000061
Temperate,1671,2055,-4.7989275,43.2084131,3.849999905,264.6000061
Temperate,1673,2337,-4.8043677,43.2021234,2.549999952,270.1000061
Temperate,1715,2460,-4.78485,43.20386,5.650000095,259.6000061
Temperate,1718,2300,-4.78485,43.20386,5.650000095,259.6000061
Temperate,2888,2390,-4.78485,43.20386,5.650000095,259.6000061
Temperate,2908,2380,-4.83954,43.18048,1.450000048,251.6999969
Temperate,2955,2230,-4.83954,43.18048,1.450000048,251.6999969
Temperate,2956,2370,-4.78485,43.20386,5.650000095,259.6000061
Temperate,2968,2230,-4.82724,43.18068,2.049999952,256.7999878
Temperate,3047,2310,-4.84008,43.19848,1.75,257.7000122
Temperate,3357,1880,-4.78485,43.20386,5.650000095,259.6000061
Temperate,3369,1940,-4.78485,43.20386,5.650000095,259.6000061
Temperate,1583,2335,-4.8335098,43.1760784,1.450000048,251.6999969
Temperate,1647,2284,-4.8345675,43.1863354,1.649999976,254.3000031
Temperate,6286,1940,-4.8285974,43.2390245,11.05000019,234.8000031
Temperate,6287,1940,-4.8572795,43.2336821,7.349999905,235.5
Temperate,6295,2020,-4.858156,43.2260501,6.150000095,236.8000031
Temperate,6300,2150,-4.8564886,43.2120843,3.25,238.6999969
Temperate,6302,2190,-4.8517748,43.2096845,3.25,238.6999969
Temperate,6312,1990,-4.8499325,43.2061575,1.950000048,249.6999969
Temperate,6320,1920,-4.8079146,43.2172203,6.949999809,255.5
Temperate,6327,2200,-4.8229865,43.1966311,2.25,268.2999878
Temperate,6329,2150,-4.8240519,43.1968662,2.25,268.2999878
Temperate,6351,2050,-4.8570688,43.2125431,3.25,238.6999969
Temperate,6352,2020,-4.8548417,43.2117688,3.25,238.6999969
Temperate,6354,2310,-4.8472343,43.201996,1.950000048,249.6999969
