species;code;condition;petridish;petricode;total;viable;date;germinated
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;20/09/2021;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;07/10/2021;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;26/10/2021;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;08/11/2021;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;04/04/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;11/04/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;18/04/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;25/04/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;02/05/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;09/05/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;16/05/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;23/05/2022;0
Agrostis tileni;250821-06;Fellfield;1;250821-06-F1;25;0;30/05/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;20/09/2021;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;07/10/2021;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;26/10/2021;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;08/11/2021;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;04/04/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;11/04/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;18/04/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;25/04/2022;2
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;02/05/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;09/05/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;16/05/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;23/05/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;30/05/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;06/06/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;13/06/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;21/06/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;27/06/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;04/07/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;11/07/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;18/07/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;25/07/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;01/08/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;08/08/2022;0
Agrostis tileni;250821-06;Fellfield;2;250821-06-F2;22;3;15/08/2022;0
Agrostis tileni;250821-06;Fellfield;3;250821-06-F3;22;6;20/09/2021;0
Agrostis tileni;250821-06;Fellfield;3;250821-06-F3;22;6;07/10/2021;0
Agrostis tileni;250821-06;Fellfield;3;250821-06-F3;22;6;26/10/2021;0
Agrostis tileni;250821-06;Fellfield;3;250821-06-F3;22;6;08/11/2021;0
Agrostis tileni;250821-06;Fellfield;3;250821-06-F3;22;6;04/04/2022;0
Agrostis tileni;250821-06;Fellfield;3;250821-06-F3;22;6;11/04/2022;0
