accession;code;region;recolection_date
110821-01;110821-01b;Mediterranean;11/08/2021
110821-03;110821-03b;Mediterranean;11/08/2021
110821-05;110821-05b;Mediterranean;11/08/2021
110821-06;110821-06b;Mediterranean;11/08/2021
110821-07;110821-07b;Mediterranean;11/08/2021
120821-01;120821-01b;Mediterranean;12/08/2021
120821-02;120821-02b;Mediterranean;12/08/2021
120821-03;120821-03b;Mediterranean;11/08/2021
120821-04;120821-04b;Mediterranean;12/08/2021
120821-06;120821-06b;Mediterranean;12/08/2021
130921-03;130921-03b;Temperate;13/09/2021
130921-05;130921-05b;Temperate;13/09/2021
130921-12;130921-12b;Temperate;13/09/2021
140921-04;140921-04b;Temperate;14/09/2021
150721-01;150721-01b;Mediterranean;15/07/2021
240821-01;240821-01b;Mediterranean;24/08/2021
240821-02;240821-02b;Mediterranean;24/08/2021
240821-03;240821-03b;Mediterranean;24/08/2021
240821-04;240821-04b;Mediterranean;24/08/2021
240821-05;240821-05b;Mediterranean;24/08/2021
240821-07;240821-07b;Mediterranean;24/08/2021
240821-08;240821-08b;Mediterranean;24/08/2021
240821-09;240821-09b;Mediterranean;24/08/2021
240821-11;240821-11b;Mediterranean;24/08/2021
250821-01;250821-01b;Mediterranean;25/08/2021
250821-02;250821-02b;Mediterranean;25/08/2021
250821-03;250821-03b;Mediterranean;25/08/2021
250821-05;250821-05b;Mediterranean;25/08/2021
250821-12;250821-12b;Mediterranean;25/08/2021
250821-13;250821-13b;Mediterranean;25/08/2021
280721-02;280721-02b;Mediterranean;28/07/2021
300821-02;300821-02b;Temperate;30/08/2021
300821-04;300821-04b;Temperate;30/08/2021
300821-07;300821-07b;Temperate;30/08/2021
310821-01;310821-01b;Temperate;31/08/2021
310821-03;310821-03b;Temperate;31/08/2021
310821-09;310821-09b;Temperate;31/08/2021
310821-12;310821-12b;Temperate;31/08/2021
