species;accession;code;incubator;petridish;total;viable;date;germinated
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;20/09/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;07/10/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;26/10/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;08/11/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;04/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;11/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;18/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;25/04/2022;2
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;20/09/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;07/10/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;26/10/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;08/11/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;04/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;11/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;18/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;25/04/2022;4
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;02/05/2022;1
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;20/09/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;07/10/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;26/10/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;08/11/2021;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;04/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;11/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;18/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;25/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;02/05/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;09/05/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;16/05/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;23/05/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;30/05/2022;2
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;20/09/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;07/10/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;26/10/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;08/11/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;10/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;11/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;18/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;25/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;01/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;08/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;15/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;1;25;1;23/06/2022;1
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;20/09/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;07/10/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;26/10/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;08/11/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;10/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;11/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;18/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;25/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;01/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;08/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;15/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;23/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;29/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;06/07/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;13/07/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;20/07/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;27/07/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;02/08/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;08/08/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;16/08/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;22/08/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;29/08/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;07/09/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;13/09/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;3;25;1;19/09/2022;1
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;20/09/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;07/10/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;26/10/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;08/11/2021;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;10/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;11/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;18/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;25/05/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;01/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;08/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;15/06/2022;0
Agrostis tileni;250821-06;250821-06;Snowbed;4;25;3;23/06/2022;3
Androsace villosa;300821-03;300821-03;Fellfield;1;25;24;21/09/2021;0
Androsace villosa;300821-03;300821-03;Fellfield;1;25;24;07/10/2021;0
Androsace villosa;300821-03;300821-03;Fellfield;1;25;24;26/10/2021;0
Androsace villosa;300821-03;300821-03;Fellfield;1;25;24;08/11/2021;0
Androsace villosa;300821-03;300821-03;Fellfield;1;25;24;04/04/2022;0
