accession;code;species;site;abundance;recolection;family;community;habitat;germ_strategy;Area_curves
250821-06;250821-06;Agrostis tileni;Penauta;0.43;25/08/2021;Poaceae;Mediterranean;Specialist;Late_season;69.84887
240821-01;240821-01;Armeria duriaei;Rabinalto;0.88;24/08/2021;Plumbaginaceae;Mediterranean;Specialist;Autumn;68.45313
240821-01;240821-01b;Armeria duriaei;Rabinalto;0.88;24/08/2021;Plumbaginaceae;Mediterranean;Specialist;Autumn;68.45313
250821-01;250821-01;Armeria duriaei;Penauta;0.88;25/08/2021;Plumbaginaceae;Mediterranean;Specialist;Autumn;68.45313
250821-01;250821-01b;Armeria duriaei;Penauta;0.88;25/08/2021;Plumbaginaceae;Mediterranean;Specialist;Autumn;68.45313
150721-05;150721-05;Cerastium ramosissimum;Cañada;0.04;15/07/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;10.83592
280721-02;280721-02;Cerastium ramosissimum;Rabinalto;0.04;28/07/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;10.83592
280721-02;280721-02b;Cerastium ramosissimum;Rabinalto;0.04;28/07/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;10.83592
240821-03;240821-03;Conopodium majus;Rabinalto;0.33;24/08/2021;Apiaceae;Mediterranean;Not_specialist;Early_season;28.44295
240821-03;240821-03b;Conopodium majus;Rabinalto;0.33;24/08/2021;Apiaceae;Mediterranean;Not_specialist;Early_season;28.44295
250821-04;250821-04;Conopodium majus;Penauta;0.33;25/08/2021;Apiaceae;Mediterranean;Not_specialist;Early_season;28.44295
110821-01;110821-01;Dianthus langeanus;Penauta;3.79;11/08/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;57.05614
110821-01;110821-01b;Dianthus langeanus;Penauta;3.79;11/08/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;57.05614
120821-02;120821-02;Dianthus langeanus;Cañada;3.79;12/08/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;57.05614
120821-02;120821-02b;Dianthus langeanus;Cañada;3.79;12/08/2021;Caryophyllaceae;Mediterranean;Not_specialist;Autumn;57.05614
240821-02;240821-02;Festuca summilusitana;Rabinalto;20.26;24/08/2021;Poaceae;Mediterranean;Specialist;Autumn;30.55134
240821-02;240821-02b;Festuca summilusitana;Rabinalto;20.26;24/08/2021;Poaceae;Mediterranean;Specialist;Autumn;30.55134
250821-02;250821-02;Festuca summilusitana;Penauta;20.26;25/08/2021;Poaceae;Mediterranean;Specialist;Autumn;30.55134
250821-02;250821-02b;Festuca summilusitana;Penauta;20.26;25/08/2021;Poaceae;Mediterranean;Specialist;Autumn;30.55134
240821-06;240821-06;Helictochloa marginata;Rabinalto;0.41;24/08/2021;Poaceae;Mediterranean;Not_specialist;Biphasic;34.43597
110821-06;110821-06;Jurinea humilis;Solana;0.41;11/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;83.86313
110821-06;110821-06b;Jurinea humilis;Solana;0.41;11/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;83.86313
120821-03;120821-03;Jurinea humilis;Cañada;0.41;12/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;83.86313
120821-03;120821-03b;Jurinea humilis;Cañada;0.41;12/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;83.86313
110821-03;110821-03;Luzula caespitosa;Penauta;15.35;11/08/2021;Juncaceae;Mediterranean;Specialist;Biphasic;12.85309
110821-03;110821-03b;Luzula caespitosa;Penauta;15.35;11/08/2021;Juncaceae;Mediterranean;Specialist;Biphasic;12.85309
120821-04;120821-04;Luzula caespitosa;Cañada;15.35;12/08/2021;Juncaceae;Mediterranean;Specialist;Biphasic;12.85309
120821-04;120821-04b;Luzula caespitosa;Cañada;15.35;12/08/2021;Juncaceae;Mediterranean;Specialist;Biphasic;12.85309
110821-07;110821-07;Minuartia recurva;Solana;0.37;11/08/2021;Caryophyllaceae;Mediterranean;Specialist;Biphasic;54.4922
110821-07;110821-07b;Minuartia recurva;Solana;0.37;11/08/2021;Caryophyllaceae;Mediterranean;Specialist;Biphasic;54.4922
120821-01;120821-01;Minuartia recurva;Cañada;0.37;12/08/2021;Caryophyllaceae;Mediterranean;Specialist;Biphasic;54.4922
120821-01;120821-01b;Minuartia recurva;Cañada;0.37;12/08/2021;Caryophyllaceae;Mediterranean;Specialist;Biphasic;54.4922
240821-07;240821-07;Neoschischkinia truncatula;Rabinalto;0.58;24/08/2021;Poaceae;Mediterranean;Not_specialist;Autumn;56.54167
240821-07;240821-07b;Neoschischkinia truncatula;Rabinalto;0.58;24/08/2021;Poaceae;Mediterranean;Not_specialist;Autumn;56.54167
250821-03;250821-03;Neoschischkinia truncatula;Penauta;0.58;25/08/2021;Poaceae;Mediterranean;Not_specialist;Autumn;56.54167
250821-03;250821-03b;Neoschischkinia truncatula;Penauta;0.58;25/08/2021;Poaceae;Mediterranean;Not_specialist;Autumn;56.54167
110821-02;110821-02;Phalacrocarpum oppositifolium;Penauta;0.71;11/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;-9.222841
120821-05;120821-05;Phalacrocarpum oppositifolium;Rabinalto;0.71;12/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;-9.222841
240821-05;240821-05b;Phalacrocarpum oppositifolium;Rabinalto;0.71;24/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;-9.222841
250821-05;250821-05b;Phalacrocarpum oppositifolium;Penauta;0.71;25/08/2021;Asteraceae;Mediterranean;Not_specialist;Biphasic;-9.222841
240821-10;240821-10;Phyteuma hemisphaericum;Cañada;0.21;24/08/2021;Campanulaceae;Mediterranean;Specialist;Early_season;10.14229
250821-07;250821-07;Phyteuma hemisphaericum;Penauta;0.21;25/08/2021;Campanulaceae;Mediterranean;Specialist;Early_season;10.14229
240821-04;240821-04;Plantago holosteum;Rabinalto;0.36;24/08/2021;Plantaginaceae;Mediterranean;Not_specialist;Autumn;37.88527
240821-04;240821-04b;Plantago holosteum;Rabinalto;0.36;24/08/2021;Plantaginaceae;Mediterranean;Not_specialist;Autumn;37.88527
250821-12;250821-12;Plantago holosteum;Solana;0.36;25/08/2021;Plantaginaceae;Mediterranean;Not_specialist;Autumn;37.88527
250821-12;250821-12b;Plantago holosteum;Solana;0.36;25/08/2021;Plantaginaceae;Mediterranean;Not_specialist;Autumn;37.88527
240821-09;240821-09;Sedum anglicum;Cañada;0.08;24/08/2021;Crassulaceae;Mediterranean;Specialist;Biphasic;63.42315
240821-09;240821-09b;Sedum anglicum;Cañada;0.08;24/08/2021;Crassulaceae;Mediterranean;Specialist;Biphasic;63.42315
250821-09;250821-09;Sedum anglicum;Penauta;0.08;25/08/2021;Crassulaceae;Mediterranean;Specialist;Biphasic;63.42315
240821-11;240821-11;Sedum brevifolium;Cañada;1.8;24/08/2021;Crassulaceae;Mediterranean;Not_specialist;Biphasic;40.75914
240821-11;240821-11b;Sedum brevifolium;Cañada;1.8;24/08/2021;Crassulaceae;Mediterranean;Not_specialist;Biphasic;40.75914
250821-08;250821-08;Sedum brevifolium;Penauta;1.8;25/08/2021;Crassulaceae;Mediterranean;Not_specialist;Biphasic;40.75914
230921-02;230921-02;Sempervivum arachnoideum;Penauta;0.27;23/09/2021;Crassulaceae;Mediterranean;Not_specialist;Late_season;55.39626
