species;accession;code;incubator;petridish;total;viable;date;germinated
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;27/10/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;10/11/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;12/04/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;19/04/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;26/04/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;03/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;10/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;17/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;24/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;31/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;01/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;07/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;14/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;22/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;28/06/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;05/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;12/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;19/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;26/07/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;01/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;08/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;15/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;22/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;29/08/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;07/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;13/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;25;25;19/09/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;27/10/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;10/11/2021;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;12/04/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;19/04/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;26/04/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;03/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;10/05/2022;0
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;25;19;17/05/2022;0
