Site;Time;Temperature
Rabinalto;01/07/2021 15:00;23.49480057
Rabinalto;01/07/2021 16:00;22.68510056
Rabinalto;01/07/2021 17:00;22.47459984
Rabinalto;01/07/2021 18:00;22.39909935
Rabinalto;01/07/2021 19:00;22.36669922
Rabinalto;01/07/2021 20:00;22.35050011
Rabinalto;01/07/2021 21:00;22.30190086
Rabinalto;01/07/2021 22:00;22.23719978
Rabinalto;01/07/2021 23:00;22.19400024
Rabinalto;02/07/2021 0:00;22.16160011
Rabinalto;02/07/2021 1:00;22.13459969
Rabinalto;02/07/2021 2:00;22.11840057
Rabinalto;02/07/2021 3:00;22.09140015
Rabinalto;02/07/2021 4:00;22.06450081
Rabinalto;02/07/2021 5:00;22.03750038
Rabinalto;02/07/2021 6:00;22.02669907
Rabinalto;02/07/2021 7:00;22.01589966
Rabinalto;02/07/2021 8:00;21.99970055
Rabinalto;02/07/2021 9:00;22.08609962
Rabinalto;02/07/2021 10:00;22.11840057
Rabinalto;02/07/2021 11:00;22.19400024
Rabinalto;02/07/2021 12:00;22.28569984
Rabinalto;02/07/2021 13:00;22.35589981
Rabinalto;02/07/2021 14:00;22.36129951
Rabinalto;02/07/2021 15:00;22.69050026
Rabinalto;02/07/2021 16:00;21.52490044
Rabinalto;02/07/2021 17:00;20.74799919
Rabinalto;02/07/2021 18:00;20.28420067
Rabinalto;02/07/2021 19:00;19.98760033
Rabinalto;02/07/2021 20:00;19.75569916
Rabinalto;02/07/2021 21:00;19.55620003
Rabinalto;02/07/2021 22:00;19.39979935
Rabinalto;02/07/2021 23:00;19.25419998
Rabinalto;03/07/2021 0:00;19.11940002
Rabinalto;03/07/2021 1:00;19.00079918
Rabinalto;03/07/2021 2:00;18.88759995
Rabinalto;03/07/2021 3:00;18.78520012
Rabinalto;03/07/2021 4:00;18.69350052
Rabinalto;03/07/2021 5:00;18.62339973
Rabinalto;03/07/2021 6:00;18.58029938
Rabinalto;03/07/2021 7:00;18.52639961
Rabinalto;03/07/2021 8:00;18.48870087
Rabinalto;03/07/2021 9:00;18.47249985
Rabinalto;03/07/2021 10:00;18.49939919
Rabinalto;03/07/2021 11:00;18.56410027
Rabinalto;03/07/2021 12:00;18.6826992
Rabinalto;03/07/2021 13:00;18.90379906
Rabinalto;03/07/2021 14:00;19.1840992
Rabinalto;03/07/2021 15:00;19.39979935
Rabinalto;03/07/2021 16:00;19.48609924
Rabinalto;03/07/2021 17:00;19.49679947
Rabinalto;03/07/2021 18:00;19.48069954
Rabinalto;03/07/2021 19:00;19.42670059
Rabinalto;03/07/2021 20:00;19.38360023
Rabinalto;03/07/2021 21:00;19.31889915
Rabinalto;03/07/2021 22:00;19.24340057
Rabinalto;03/07/2021 23:00;19.14640045
Rabinalto;04/07/2021 0:00;19.0223999
