week;Site;Macroclimate;T;X;N;Snow;FDD;GDD
1;Hou Sin Tierri;Temperate;-0.992403415;-0.670884786;-1.364097861;0.661764706;-1.002094257;0
2;Hou Sin Tierri;Temperate;-1.472456627;-0.934898363;-1.934406151;0.457142857;-1.473405055;0
3;Hou Sin Tierri;Temperate;-0.948692602;-0.732444188;-1.150600544;0.528571429;-0.951539481;0
4;Hou Sin Tierri;Temperate;-1.642476169;-1.197035793;-2.026243132;0.328571429;-1.748088515;0.083704799
5;Hou Sin Tierri;Temperate;-0.70140736;-0.488657039;-0.908940407;0.371428571;-0.776297851;0.049934079
6;Hou Sin Tierri;Temperate;-0.795570652;-0.615828591;-0.964623351;0.485714286;-0.813577038;0
7;Hou Sin Tierri;Temperate;-0.963338913;-0.769471864;-1.131070434;0.528571429;-0.968543596;0
8;Hou Sin Tierri;Temperate;-0.890933549;-0.680642941;-1.07943548;0.514285714;-0.890933549;0
9;Hou Sin Tierri;Temperate;-0.688437042;-0.548145636;-0.819172683;0.442857143;-0.688437042;0
10;Hou Sin Tierri;Temperate;-0.391205907;-0.318729563;-0.471169913;0.628571429;-0.391205907;0
11;Hou Sin Tierri;Temperate;-0.261386108;-0.179491206;-0.37614555;0.828571429;-0.261386108;0
12;Hou Sin Tierri;Temperate;-0.154081793;-0.11774041;-0.209871839;0.842857143;-0.154081793;0
13;Hou Sin Tierri;Temperate;-0.07434463;-0.049413428;-0.08929457;0.957142857;-0.07580978;0
14;Hou Sin Tierri;Temperate;0.236656074;0.731913673;-0.049045788;0.842857143;-0.044771086;0.262503342
15;Hou Sin Tierri;Temperate;1.391441325;3.005569926;0.357986013;0.6;-0.019085408;1.386214064
16;Hou Sin Tierri;Temperate;2.543073494;4.347192034;1.255469744;0.528571429;-0.014310258;2.522424125
17;Hou Sin Tierri;Temperate;2.541035432;3.95070048;1.53212355;0.5;-0.011423596;2.536241775
18;Hou Sin Tierri;Temperate;2.240986819;3.432196653;1.316417763;0.5;-0.010282712;2.181139863
19;Hou Sin Tierri;Temperate;3.519126722;5.505843646;2.093095714;0.371428571;-0.00658134;3.444425053
20;Hou Sin Tierri;Temperate;6.085056977;9.288909922;3.629615762;0.157142857;-0.000436442;6.05387063
21;Hou Sin Tierri;Temperate;7.489972311;11.02162358;4.831980556;0.085714286;-1.39E-05;7.475600512
22;Hou Sin Tierri;Temperate;9.393540843;13.54876214;6.053845971;0;0;9.393540843
