week;Site;Macroclimate;T;X;N;Snow;FDD;GDD
1;Villabandin;Mediterranean;0.156525793;0.643338083;-0.139009523;0.619047619;-0.094010317;0.128982737
2;Villabandin;Mediterranean;-1.002365671;0.442471413;-2.010538083;0.047619048;-1.180803766;0.121715674
3;Villabandin;Mediterranean;-1.524239284;-0.026038105;-2.606561905;0;-1.524239284;0
4;Villabandin;Mediterranean;-1.816368651;0.141914261;-3.168723807;0;-1.886084919;0.052888094
5;Villabandin;Mediterranean;-0.133301986;2.037299958;-1.31154761;0.047619048;-0.724442461;0.47435595
6;Villabandin;Mediterranean;0.303535317;2.190400002;-0.69148572;0.238095238;-0.399300993;0.659344048
7;Villabandin;Mediterranean;-0.165575597;1.13613808;-0.882319055;0.238095238;-0.472973811;0.300337699
8;Villabandin;Mediterranean;0.5793371;3.445309545;-0.759938102;0;-0.306308134;0.87523829
9;Villabandin;Mediterranean;0.341113098;1.489280969;-0.212861903;0.523809524;-0.149434523;0.418448613
10;Villabandin;Mediterranean;-0.436877779;-0.278176191;-0.691952383;0.523809524;-0.436877779;0
11;Villabandin;Mediterranean;-0.244756151;0.112666669;-0.492461906;0.619047619;-0.298606151;0
12;Villabandin;Mediterranean;0.392150996;1.351942875;-0.119571426;0.714285714;-0.176104562;0.547950399
13;Villabandin;Mediterranean;0.237823214;1.222295233;-0.294676192;0.428571429;-0.266422817;0.387775991
14;Villabandin;Mediterranean;0.51179167;2.948261897;-0.672652379;0.095238095;-0.238278173;0.650742462
15;Villabandin;Mediterranean;3.70624961;8.946933308;0.6117762;0.19047619;-0.030463293;3.692826593
16;Villabandin;Mediterranean;2.190280947;5.339585698;0.655495245;0;0;1.91357797
17;Villabandin;Mediterranean;5.60640019;11.58223803;1.598214298;0;0;5.548996023
18;Villabandin;Mediterranean;9.476980173;18.11765249;3.175457171;0;0;9.476980173
19;Villabandin;Mediterranean;12.88712481;20.41745222;7.57058566;0;0;12.88712481
20;Villabandin;Mediterranean;12.09998094;18.09623818;7.916280883;0;0;12.09998094
21;Villabandin;Mediterranean;11.98467223;20.9014477;6.323585714;0;0;11.98467223
22;Villabandin;Mediterranean;11.4250375;16.3376832;7.89563338;0;0;11.4250375
26;Villabandin;Mediterranean;16.44971726;23.47480974;11.13137618;0;0;16.44971726
27;Villabandin;Mediterranean;15.54198411;24.1757482;9.643096546;0;0;15.54198411
28;Villabandin;Mediterranean;17.89273032;28.93747125;9.739680948;0;0;17.89273032
29;Villabandin;Mediterranean;20.70489802;32.22005226;12.68048091;0;0;20.70489802
30;Villabandin;Mediterranean;18.28720496;29.68779037;10.37636675;0;0;18.28720496
31;Villabandin;Mediterranean;15.60152656;24.04981431;9.637266568;0;0;15.60152656
32;Villabandin;Mediterranean;21.16710142;32.83165232;12.84013321;0;0;21.16710142
33;Villabandin;Mediterranean;20.39088609;32.6196617;12.04509045;0;0;20.39088609
34;Villabandin;Mediterranean;18.09798433;27.03346643;12.33265704;0;0;18.09798433
35;Villabandin;Mediterranean;14.3810992;20.59248547;10.10790005;0;0;14.3810992
36;Villabandin;Mediterranean;12.52785101;17.40341423;9.106961886;0;0;12.52785101
37;Villabandin;Mediterranean;10.24177223;14.86526194;7.074966669;0;0;10.24177223
38;Villabandin;Mediterranean;8.445570039;12.10055224;6.065895205;0;0;8.445570039
39;Villabandin;Mediterranean;9.268396023;14.02803326;6.260842834;0;0;9.268396023
40;Villabandin;Mediterranean;8.190618831;13.52338092;4.979590507;0;0;8.190618831
41;Villabandin;Mediterranean;8.08197996;13.69930472;4.684347641;0;0;8.08197996
42;Villabandin;Mediterranean;7.48220098;11.85995724;4.659752392;0;0;7.48220098
43;Villabandin;Mediterranean;5.161413491;8.580961954;2.908438064;0;0;5.161413491
44;Villabandin;Mediterranean;1.800587301;2.36633806;1.406023812;0;0;1.683026586
45;Villabandin;Mediterranean;2.16057123;4.628195212;0.897895234;0;0;2.119723214
46;Villabandin;Mediterranean;1.203019638;3.682114244;0.054652381;0.047619048;-0.081173214;1.16626805
47;Villabandin;Mediterranean;0.433973413;0.547676193;0.334414287;0.428571429;-0.002811111;0.053898809
48;Villabandin;Mediterranean;0.500318257;0.570314288;0.428157144;0.238095238;0;0
49;Villabandin;Mediterranean;0.370036111;0.730590473;0.169109523;0.714285714;-0.008221032;0.066634722
50;Villabandin;Mediterranean;-0.187573812;0.059347621;-0.400909527;0.428571429;-0.330146628;0
51;Villabandin;Mediterranean;0.083435119;0.30416667;-0.067223805;0.666666667;-0.106890476;0
52;Villabandin;Mediterranean;1.141245237;2.610300012;0.284719047;0.238095238;-0.00779246;0.998642458
