Site;week;T;X;N;Snow;FDD;GDD;order
Hoyo Sin Tierra;1;-0.794869087;-0.4566291;-1.10265709;0.470588235;-0.933079676;0.04211051;24
Hoyo Sin Tierra;2;-1.529259336;-1.107669426;-1.940345253;0.485714286;-1.570518343;0;25
Hoyo Sin Tierra;3;-1.354003089;-0.919495359;-1.745024462;0.528571429;-1.396335851;0.019795229;26
Hoyo Sin Tierra;4;-1.019830982;-0.530098383;-1.397771191;0.3;-1.197074779;0.122113133;27
Hoyo Sin Tierra;5;-0.926116728;-0.500855224;-1.329898244;0.442857143;-1.035189853;0.084091214;28
Hoyo Sin Tierra;6;-1.39841131;-0.955118554;-1.773475448;0.385714286;-1.442423347;0;29
Hoyo Sin Tierra;7;-1.479668566;-1.089436445;-1.87777872;0.257142857;-1.486817663;0;30
Hoyo Sin Tierra;8;-0.916132523;-0.63145458;-1.192637553;0.371428571;-0.916132523;0;31
Hoyo Sin Tierra;9;-0.619507739;-0.375884221;-0.834448072;0.442857143;-0.651480498;0;32
Hoyo Sin Tierra;10;-0.336654206;-0.057294467;-0.577701419;0.457142857;-0.484268832;0.137622193;33
Hoyo Sin Tierra;11;0.282255484;0.607465803;-0.014150403;0.757142857;-0.149979492;0.428432071;34
Hoyo Sin Tierra;12;0.359412637;0.83907512;0.09321481;0.771428571;-0.057358873;0.368781679;35
Hoyo Sin Tierra;13;0.857436603;1.422842213;0.450637026;0.785714286;-0.018681451;0.834387014;36
Hoyo Sin Tierra;14;1.937091815;3.398595722;0.974590469;0.485714286;-0.023401414;1.905654234;37
Hoyo Sin Tierra;15;2.953380487;4.567473858;1.790582709;0.428571429;-0.001543444;2.863590544;38
Hoyo Sin Tierra;16;3.742336789;5.334422248;2.507493769;0.4;-0.000933405;3.666390839;39
Hoyo Sin Tierra;17;3.781939166;5.418280309;2.605537937;0.214285714;0;3.664305177;40
Hoyo Sin Tierra;18;4.487230539;6.548704411;3.005306146;0.142857143;0;4.399775434;41
Hoyo Sin Tierra;19;7.29030786;10.03116154;5.173829614;0.042857143;0;7.286497923;42
Hoyo Sin Tierra;20;9.546626764;13.07539143;6.834177143;0;0;9.546626764;43
Hoyo Sin Tierra;21;9.811222548;12.80069786;7.442962714;0;0;9.811222548;44
Hoyo Sin Tierra;22;10.62080501;13.84463457;8.078775714;0;0;10.62080501;45
Hoyo Sin Tierra;23;11.77450228;14.72926886;9.344700714;0;0;11.77450228;46
Hoyo Sin Tierra;24;11.73210122;14.85439171;9.265442571;0;0;11.73210122;47
Hoyo Sin Tierra;25;14.58546114;18.29154771;11.64182243;0;0;14.58546114;48
Hoyo Sin Tierra;26;15.4426272;18.99255257;12.51183914;0;0;15.4426272;49
Hoyo Sin Tierra;27;16.18094571;19.25477857;13.612722;0;0;16.18094571;50
Hoyo Sin Tierra;28;16.34546826;19.92894571;13.40440129;0;0;16.34546826;51
Hoyo Sin Tierra;29;17.29867171;20.47548143;14.637691;0;0;17.29867171;52
Hoyo Sin Tierra;30;17.88607435;21.41371143;15.02825286;0;0;17.88607435;53
Hoyo Sin Tierra;31;17.82120702;21.25656286;15.05108857;0;0;17.82120702;1
Hoyo Sin Tierra;32;17.18211683;20.67265571;14.40363214;0;0;17.18211683;2
Hoyo Sin Tierra;33;17.58993214;20.91822143;14.91122857;0;0;17.58993214;3
Hoyo Sin Tierra;34;17.94319987;21.16002857;15.31681914;0;0;17.94319987;4
Hoyo Sin Tierra;35;16.64843324;19.89657286;14.16114929;0;0;16.64843324;5
Hoyo Sin Tierra;36;15.66505813;18.62529;13.34876986;0;0;15.66505813;6
Hoyo Sin Tierra;37;14.04379798;16.95036786;11.75898786;0;0;14.04379798;7
