Macroclimate;Site;week;T;X;N;Snow;FDD;GDD;order
Temperate;Hou Sin Tierri;1;-0.097379167;-0.061357143;-0.125399999;1;-0.099907738;0;23
Temperate;Hou Sin Tierri;2;-2.441707733;-1.625400015;-3.285242896;0.285714286;-2.441707733;0;24
Temperate;Hou Sin Tierri;3;-5.466989896;-3.959514311;-6.908442838;0;-5.466989896;0;25
Temperate;Hou Sin Tierri;4;-6.917145854;-4.747257131;-8.854171617;0;-6.917145854;0;26
Temperate;Hou Sin Tierri;5;-2.9940393;-1.483971413;-4.635857208;0;-2.9940393;0;27
Temperate;Hou Sin Tierri;6;-2.11524048;-0.961757128;-3.167371443;0;-2.11524048;0;28
Temperate;Hou Sin Tierri;7;-0.762605948;0.439957165;-1.454542862;0;-0.829585115;0;29
Temperate;Hou Sin Tierri;8;-1.339374408;1.194214255;-3.560285705;0;-1.339374408;0;30
Temperate;Hou Sin Tierri;9;-0.396782147;0.376657122;-1.070800006;0.714285714;-0.433760122;0;31
Temperate;Hou Sin Tierri;10;-0.276441668;-0.180642858;-0.494399997;0.428571429;-0.276441668;0;32
Temperate;Hou Sin Tierri;11;-0.158916667;0.415100016;-0.4672;0.571428571;-0.175820833;0;33
Temperate;Hou Sin Tierri;12;1.629144072;6.619257267;-0.660800022;0.142857143;-0.00492381;1.574464905;34
Temperate;Hou Sin Tierri;13;0.919166656;2.853785774;-0.1718;0.428571429;-0.142324405;0.981407134;35
Temperate;Hou Sin Tierri;14;-0.183852976;-0.178242858;-0.191057146;1;-0.183852976;0;36
Temperate;Hou Sin Tierri;15;4.140317853;12.84744287;-0.573628569;0;0;4.091229163;37
Temperate;Hou Sin Tierri;16;1.221616064;3.185957066;0.223628573;0.571428571;0;0.999114874;38
Temperate;Hou Sin Tierri;17;2.761012505;7.297371495;0.163599998;0.571428571;-0.00486131;2.753364886;39
Temperate;Hou Sin Tierri;18;6.824247616;16.86930009;0.466285707;0;0;6.824247616;40
Temperate;Hou Sin Tierri;19;10.41336133;19.09887164;5.307185675;0;0;10.41336133;41
Temperate;Hou Sin Tierri;20;11.96890597;19.00912843;7.792557103;0;0;11.96890597;42
Temperate;Hou Sin Tierri;21;10.27381015;19.80017151;3.917385714;0;0;10.27381015;43
Temperate;Hou Sin Tierri;22;10.76961545;17.12841415;6.584628582;0;0;10.76961545;44
Temperate;Hou Sin Tierri;23;13.51768271;21.20964282;7.992900099;0;0;13.51768271;45
Temperate;Hou Sin Tierri;24;17.50001669;26.35834285;12.20941435;0;0;17.50001669;46
Temperate;Hou Sin Tierri;25;9.559256531;15.50419998;6.129099914;0;0;9.559256531;47
Temperate;Hou Sin Tierri;26;11.88669645;20.74430003;5.921285697;0;0;11.88669645;48
Temperate;Hou Sin Tierri;27;14.09079787;21.52286232;8.842662572;0;0;14.09079787;49
Temperate;Hou Sin Tierri;28;13.48304343;21.10975688;7.280385835;0;0;13.48304343;50
Temperate;Hou Sin Tierri;29;17.68515655;24.42181396;12.43347141;0;0;17.68515655;51
Temperate;Hou Sin Tierri;30;15.11269764;21.36198562;10.65997158;0;0;15.11269764;52
Temperate;Hou Sin Tierri;31;14.18826312;20.85950007;9.846071584;0;0;14.18826312;1
Temperate;Hou Sin Tierri;32;18.80424284;25.90387154;14.09575707;0;0;18.80424284;2
Temperate;Hou Sin Tierri;33;16.92652682;24.45658547;11.5971429;0;0;16.92652682;3
Temperate;Hou Sin Tierri;34;16.58203453;24.46615682;10.83048562;0;0;16.58203453;4
Temperate;Hou Sin Tierri;35;14.28554467;19.47941426;10.67472866;0;0;14.28554467;5
Temperate;Hou Sin Tierri;36;13.94013034;18.70478576;10.9299001;0;0;13.94013034;6
Temperate;Hou Sin Tierri;37;9.611986333;14.54008593;6.546042851;0;0;9.611986333;7
Temperate;Hou Sin Tierri;38;6.655192257;10.27055686;4.273928608;0;0;6.655192257;8
Temperate;Hou Sin Tierri;39;8.157947045;12.86502838;4.881785665;0;0;8.157947045;9
Temperate;Hou Sin Tierri;40;5.617366676;12.44642871;1.949428576;0;0;5.617366676;10
Temperate;Hou Sin Tierri;41;4.953070273;11.6660144;1.347257129;0;0;4.953070273;11
Temperate;Hou Sin Tierri;42;5.506172653;10.18321446;2.713957156;0;0;5.506172653;12
Temperate;Hou Sin Tierri;43;3.635459526;7.625314236;1.559614283;0;0;3.635459526;13
Temperate;Hou Sin Tierri;44;0.945520234;1.590914258;0.603914278;0;0;0.513449404;14
