date;incubator;regime;Tmin;Tmax;Tmean;light_min;germination_period
30/07/2021;Fellfield;13/21 C;13;21;17;840;Autumn
31/07/2021;Fellfield;13/21 C;13;21;17;840;Autumn
01/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
02/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
03/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
04/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
05/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
06/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
07/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
08/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
09/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
10/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
11/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
12/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
13/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
14/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
15/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
16/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
17/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
18/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
19/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
20/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
21/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
22/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
23/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
24/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
25/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
26/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
27/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
28/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
29/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
30/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
31/08/2021;Fellfield;13/21 C;13;21;17;840;Autumn
01/09/2021;Fellfield;13/21 C;13;21;17;840;Autumn
02/09/2021;Fellfield;13/21 C;13;21;17;840;Autumn
03/09/2021;Fellfield;13/21 C;13;21;17;840;Autumn
04/09/2021;Fellfield;13/21 C;13;21;17;840;Autumn
05/09/2021;Fellfield;13/21 C;13;21;17;840;Autumn
06/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
07/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
08/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
09/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
10/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
11/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
12/09/2021;Fellfield;13/19 C;13;19;16;750;Autumn
13/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
14/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
15/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
16/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
17/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
18/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
19/09/2021;Fellfield;12/16 C;12;16;14;750;Autumn
20/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
21/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
22/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
23/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
24/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
25/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
26/09/2021;Fellfield;10/15 C;10;15;12.5;750;Autumn
27/09/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
28/09/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
29/09/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
30/09/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
01/10/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
02/10/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
03/10/2021;Fellfield;9/14 C;9;14;11.5;750;Autumn
04/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
05/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
06/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
07/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
08/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
09/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
10/10/2021;Fellfield;9/13 C;9;13;11;660;Autumn
11/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
12/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
13/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
14/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
15/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
16/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
17/10/2021;Fellfield;8/11 C;8;11;9.5;660;Autumn
18/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
19/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
20/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
21/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
22/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
23/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
24/10/2021;Fellfield;6/9 C;6;9;7.5;660;Autumn
25/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
26/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
27/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
28/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
29/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
30/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
31/10/2021;Fellfield;5/8 C;5;8;6.5;660;Autumn
01/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
02/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
03/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
04/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
05/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
06/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
07/11/2021;Fellfield;4/6 C;4;6;5;600;Autumn
08/11/2021;Fellfield;3/4 C;3;4;3.5;600;Autumn
09/11/2021;Fellfield;3/4 C;3;4;3.5;600;Autumn
10/11/2021;Fellfield;3/4 C;3;4;3.5;600;Autumn
11/11/2021;Fellfield;3/4 C;3;4;3.5;600;Autumn
12/11/2021;Fellfield;3/4 C;3;4;3.5;600;Winter
13/11/2021;Fellfield;3/4 C;3;4;3.5;600;Winter
