species;country;dish;date;germinated;seedling;viable;total
Agrostis capillaris;Spain;A;15/08/2016;0;0;18;25
Agrostis capillaris;Spain;A;22/08/2016;1;0;18;25
Agrostis capillaris;Spain;A;29/08/2016;0;1;18;25
Agrostis capillaris;Spain;A;05/09/2016;1;1;18;25
Agrostis capillaris;Spain;A;12/09/2016;0;0;18;25
Agrostis capillaris;Spain;A;19/09/2016;0;0;18;25
Agrostis capillaris;Spain;A;26/09/2016;1;0;18;25
Agrostis capillaris;Spain;A;03/10/2016;0;1;18;25
Agrostis capillaris;Spain;A;10/10/2016;0;0;18;25
Agrostis capillaris;Spain;A;17/10/2016;0;0;18;25
Agrostis capillaris;Spain;A;24/10/2016;0;0;18;25
Agrostis capillaris;Spain;A;31/10/2016;1;1;18;25
Agrostis capillaris;Spain;A;07/11/2016;0;0;18;25
Agrostis capillaris;Spain;A;14/11/2016;1;1;18;25
Agrostis capillaris;Spain;A;21/11/2016;0;0;18;25
Agrostis capillaris;Spain;A;28/11/2016;1;0;18;25
Agrostis capillaris;Spain;A;05/12/2016;0;1;18;25
Agrostis capillaris;Spain;A;12/12/2016;0;0;18;25
Agrostis capillaris;Spain;A;19/12/2016;1;1;18;25
Agrostis capillaris;Spain;A;26/12/2016;0;0;18;25
Agrostis capillaris;Spain;A;02/01/2017;0;0;18;25
Agrostis capillaris;Spain;A;09/01/2017;0;0;18;25
Agrostis capillaris;Spain;A;16/01/2017;0;0;18;25
Agrostis capillaris;Spain;A;23/01/2017;0;0;18;25
Agrostis capillaris;Spain;A;30/01/2017;0;0;18;25
Agrostis capillaris;Spain;A;06/02/2017;0;0;18;25
Agrostis capillaris;Spain;A;13/02/2017;0;0;18;25
Agrostis capillaris;Spain;A;20/02/2017;0;0;18;25
Agrostis capillaris;Spain;A;27/02/2017;0;0;18;25
Agrostis capillaris;Spain;A;06/03/2017;0;0;18;25
Agrostis capillaris;Spain;A;13/03/2017;0;0;18;25
Agrostis capillaris;Spain;A;20/03/2017;0;0;18;25
Agrostis capillaris;Spain;A;27/03/2017;0;0;18;25
Agrostis capillaris;Spain;A;03/04/2017;0;0;18;25
Agrostis capillaris;Spain;A;10/04/2017;0;0;18;25
Agrostis capillaris;Spain;A;17/04/2017;0;0;18;25
Agrostis capillaris;Spain;A;24/04/2017;0;0;18;25
Agrostis capillaris;Spain;A;01/05/2017;0;0;18;25
Agrostis capillaris;Spain;A;08/05/2017;0;0;18;25
Agrostis capillaris;Spain;A;15/05/2017;0;0;18;25
Agrostis capillaris;Spain;A;22/05/2017;0;0;18;25
Agrostis capillaris;Spain;A;29/05/2017;0;0;18;25
Agrostis capillaris;Spain;A;05/06/2017;0;0;18;25
Agrostis capillaris;Spain;A;12/06/2017;1;1;18;25
Agrostis capillaris;Spain;A;19/06/2017;0;0;18;25
Agrostis capillaris;Spain;A;26/06/2017;0;0;18;25
Agrostis capillaris;Spain;A;03/07/2017;0;0;18;25
Agrostis capillaris;Spain;A;10/07/2017;1;0;18;25
Agrostis capillaris;Spain;A;17/07/2017;0;1;18;25
Agrostis capillaris;Spain;A;24/07/2017;0;0;18;25
Agrostis capillaris;Spain;A;31/07/2017;0;0;18;25
Agrostis capillaris;Spain;A;07/08/2017;0;0;18;25
Agrostis capillaris;Spain;B;15/08/2016;0;0;19;25
Agrostis capillaris;Spain;B;22/08/2016;1;0;19;25
Agrostis capillaris;Spain;B;29/08/2016;0;1;19;25
Agrostis capillaris;Spain;B;05/09/2016;1;0;19;25
Agrostis capillaris;Spain;B;12/09/2016;0;1;19;25
Agrostis capillaris;Spain;B;19/09/2016;0;0;19;25
Agrostis capillaris;Spain;B;26/09/2016;1;0;19;25
Agrostis capillaris;Spain;B;03/10/2016;0;1;19;25
Agrostis capillaris;Spain;B;10/10/2016;0;0;19;25
Agrostis capillaris;Spain;B;17/10/2016;0;0;19;25
Agrostis capillaris;Spain;B;24/10/2016;0;0;19;25
Agrostis capillaris;Spain;B;31/10/2016;0;0;19;25
Agrostis capillaris;Spain;B;07/11/2016;0;0;19;25
Agrostis capillaris;Spain;B;14/11/2016;0;0;19;25
Agrostis capillaris;Spain;B;21/11/2016;0;0;19;25
Agrostis capillaris;Spain;B;28/11/2016;0;0;19;25
Agrostis capillaris;Spain;B;05/12/2016;0;0;19;25
Agrostis capillaris;Spain;B;12/12/2016;0;0;19;25
Agrostis capillaris;Spain;B;19/12/2016;0;0;19;25
Agrostis capillaris;Spain;B;26/12/2016;0;0;19;25
Agrostis capillaris;Spain;B;02/01/2017;0;0;19;25
Agrostis capillaris;Spain;B;09/01/2017;0;0;19;25
Agrostis capillaris;Spain;B;16/01/2017;0;0;19;25
Agrostis capillaris;Spain;B;23/01/2017;0;0;19;25
Agrostis capillaris;Spain;B;30/01/2017;0;0;19;25
Agrostis capillaris;Spain;B;06/02/2017;0;0;19;25
Agrostis capillaris;Spain;B;13/02/2017;0;0;19;25
Agrostis capillaris;Spain;B;20/02/2017;0;0;19;25
Agrostis capillaris;Spain;B;27/02/2017;0;0;19;25
Agrostis capillaris;Spain;B;06/03/2017;0;0;19;25
Agrostis capillaris;Spain;B;13/03/2017;0;0;19;25
Agrostis capillaris;Spain;B;20/03/2017;0;0;19;25
Agrostis capillaris;Spain;B;27/03/2017;0;0;19;25
Agrostis capillaris;Spain;B;03/04/2017;0;0;19;25
Agrostis capillaris;Spain;B;10/04/2017;0;0;19;25
Agrostis capillaris;Spain;B;17/04/2017;0;0;19;25
Agrostis capillaris;Spain;B;24/04/2017;0;0;19;25
Agrostis capillaris;Spain;B;01/05/2017;0;0;19;25
Agrostis capillaris;Spain;B;08/05/2017;1;1;19;25
Agrostis capillaris;Spain;B;15/05/2017;0;0;19;25
Agrostis capillaris;Spain;B;22/05/2017;0;0;19;25
Agrostis capillaris;Spain;B;29/05/2017;0;0;19;25
Agrostis capillaris;Spain;B;05/06/2017;0;0;19;25
Agrostis capillaris;Spain;B;12/06/2017;1;1;19;25
Agrostis capillaris;Spain;B;19/06/2017;0;0;19;25
Agrostis capillaris;Spain;B;26/06/2017;0;0;19;25
Agrostis capillaris;Spain;B;03/07/2017;0;0;19;25
Agrostis capillaris;Spain;B;10/07/2017;0;0;19;25
Agrostis capillaris;Spain;B;17/07/2017;0;0;19;25
Agrostis capillaris;Spain;B;24/07/2017;0;0;19;25
Agrostis capillaris;Spain;B;31/07/2017;0;0;19;25
Agrostis capillaris;Spain;B;07/08/2017;0;0;19;25
Agrostis capillaris;Spain;C;15/08/2016;0;0;18;25
Agrostis capillaris;Spain;C;22/08/2016;1;1;18;25
Agrostis capillaris;Spain;C;29/08/2016;0;0;18;25
Agrostis capillaris;Spain;C;05/09/2016;1;0;18;25
Agrostis capillaris;Spain;C;12/09/2016;0;1;18;25
Agrostis capillaris;Spain;C;19/09/2016;0;0;18;25
Agrostis capillaris;Spain;C;26/09/2016;1;0;18;25
Agrostis capillaris;Spain;C;03/10/2016;0;1;18;25
Agrostis capillaris;Spain;C;10/10/2016;0;0;18;25
Agrostis capillaris;Spain;C;17/10/2016;0;0;18;25
Agrostis capillaris;Spain;C;24/10/2016;0;0;18;25
Agrostis capillaris;Spain;C;31/10/2016;0;0;18;25
Agrostis capillaris;Spain;C;07/11/2016;1;1;18;25
Agrostis capillaris;Spain;C;14/11/2016;0;0;18;25
Agrostis capillaris;Spain;C;21/11/2016;0;0;18;25
Agrostis capillaris;Spain;C;28/11/2016;0;0;18;25
Agrostis capillaris;Spain;C;05/12/2016;0;0;18;25
Agrostis capillaris;Spain;C;12/12/2016;0;0;18;25
Agrostis capillaris;Spain;C;19/12/2016;0;0;18;25
Agrostis capillaris;Spain;C;26/12/2016;0;0;18;25
Agrostis capillaris;Spain;C;02/01/2017;0;0;18;25
Agrostis capillaris;Spain;C;09/01/2017;0;0;18;25
Agrostis capillaris;Spain;C;16/01/2017;0;0;18;25
Agrostis capillaris;Spain;C;23/01/2017;0;0;18;25
Agrostis capillaris;Spain;C;30/01/2017;0;0;18;25
Agrostis capillaris;Spain;C;06/02/2017;0;0;18;25
Agrostis capillaris;Spain;C;13/02/2017;0;0;18;25
Agrostis capillaris;Spain;C;20/02/2017;0;0;18;25
Agrostis capillaris;Spain;C;27/02/2017;0;0;18;25
Agrostis capillaris;Spain;C;06/03/2017;0;0;18;25
Agrostis capillaris;Spain;C;13/03/2017;0;0;18;25
Agrostis capillaris;Spain;C;20/03/2017;0;0;18;25
Agrostis capillaris;Spain;C;27/03/2017;0;0;18;25
Agrostis capillaris;Spain;C;03/04/2017;0;0;18;25
Agrostis capillaris;Spain;C;10/04/2017;0;0;18;25
