date,country,regime,temperature
2015-11-23,Spain,15.6/7.6 C,11.6
2015-11-24,Spain,15.6/7.6 C,11.6
2015-11-25,Spain,15.6/7.6 C,11.6
2015-11-26,Spain,15.6/7.6 C,11.6
2015-11-27,Spain,15.6/7.6 C,11.6
2015-11-28,Spain,15.6/7.6 C,11.6
2015-11-29,Spain,15.6/7.6 C,11.6
2015-11-30,Spain,15.6/7.6 C,11.6
2015-12-01,Spain,15.6/7.6 C,11.6
2015-12-02,Spain,15.6/7.6 C,11.6
2015-12-03,Spain,15.6/7.6 C,11.6
2015-12-04,Spain,15.6/7.6 C,11.6
2015-12-05,Spain,15.6/7.6 C,11.6
2015-12-06,Spain,15.6/7.6 C,11.6
2015-12-07,Spain,15.6/7.6 C,11.6
2015-12-08,Spain,15.6/7.6 C,11.6
2015-12-09,Spain,15.6/7.6 C,11.6
2015-12-10,Spain,15.6/7.6 C,11.6
2015-12-11,Spain,15.6/7.6 C,11.6
2015-12-12,Spain,15.6/7.6 C,11.6
2015-12-13,Spain,15.6/7.6 C,11.6
2015-12-14,Spain,15.6/7.6 C,11.6
2015-12-15,Spain,15.6/7.6 C,11.6
2015-12-16,Spain,14/5.8 C,9.9
2015-12-17,Spain,14/5.8 C,9.9
2015-12-18,Spain,14/5.8 C,9.9
2015-12-19,Spain,14/5.8 C,9.9
2015-12-20,Spain,14/5.8 C,9.9
2015-12-21,Spain,14/5.8 C,9.9
2015-12-22,Spain,14/5.8 C,9.9
2015-12-23,Spain,14/5.8 C,9.9
2015-12-24,Spain,14/5.8 C,9.9
2015-12-25,Spain,14/5.8 C,9.9
2015-12-26,Spain,14/5.8 C,9.9
2015-12-27,Spain,14/5.8 C,9.9
2015-12-28,Spain,14/5.8 C,9.9
2015-12-29,Spain,14/5.8 C,9.9
2015-12-30,Spain,14/5.8 C,9.9
2015-12-31,Spain,14/5.8 C,9.9
2016-01-01,Spain,14/5.8 C,9.9
2016-01-02,Spain,14/5.8 C,9.9
2016-01-03,Spain,14/5.8 C,9.9
2016-01-04,Spain,14/5.8 C,9.9
2016-01-05,Spain,14/5.8 C,9.9
2016-01-06,Spain,14/5.8 C,9.9
2016-01-07,Spain,14/5.8 C,9.9
2016-01-08,Spain,14/5.8 C,9.9
2016-01-09,Spain,14/5.8 C,9.9
2016-01-10,Spain,14/5.8 C,9.9
2016-01-11,Spain,14/5.8 C,9.9
2016-01-12,Spain,14/5.8 C,9.9
2016-01-13,Spain,14/5.8 C,9.9
2016-01-14,Spain,14/5.8 C,9.9
2016-01-15,Spain,13.1/4.7 C,8.9
2016-01-16,Spain,13.1/4.7 C,8.9
2016-01-17,Spain,13.1/4.7 C,8.9
2016-01-18,Spain,13.1/4.7 C,8.9
2016-01-19,Spain,13.1/4.7 C,8.9
2016-01-20,Spain,13.1/4.7 C,8.9
2016-01-21,Spain,13.1/4.7 C,8.9
2016-01-22,Spain,13.1/4.7 C,8.9
2016-01-23,Spain,13.1/4.7 C,8.9
2016-01-24,Spain,13.1/4.7 C,8.9
2016-01-25,Spain,13.1/4.7 C,8.9
2016-01-26,Spain,13.1/4.7 C,8.9
2016-01-27,Spain,13.1/4.7 C,8.9
2016-01-28,Spain,13.1/4.7 C,8.9
2016-01-29,Spain,13.1/4.7 C,8.9
2016-01-30,Spain,13.1/4.7 C,8.9
2016-01-31,Spain,13.1/4.7 C,8.9
2016-02-01,Spain,13.1/4.7 C,8.9
2016-02-02,Spain,13.1/4.7 C,8.9
2016-02-03,Spain,13.1/4.7 C,8.9
2016-02-04,Spain,13.1/4.7 C,8.9
2016-02-05,Spain,13.1/4.7 C,8.9
2016-02-06,Spain,13.1/4.7 C,8.9
2016-02-07,Spain,13.1/4.7 C,8.9
2016-02-08,Spain,13.1/4.7 C,8.9
2016-02-09,Spain,13.1/4.7 C,8.9
2016-02-10,Spain,13.1/4.7 C,8.9
2016-02-11,Spain,13.1/4.7 C,8.9
2016-02-12,Spain,13.1/4.7 C,8.9
2016-02-13,Spain,13.1/4.7 C,8.9
2016-02-14,Spain,13.1/4.7 C,8.9
2016-02-15,Spain,13.1/4.7 C,8.9
2016-02-16,Spain,13.1/4.7 C,8.9
2016-02-17,Spain,13.1/4.7 C,8.9
2016-02-18,Spain,13.1/4.7 C,8.9
2016-02-19,Spain,13.1/4.7 C,8.9
2016-02-20,Spain,13.1/4.7 C,8.9
2016-02-21,Spain,13.1/4.7 C,8.9
2016-02-22,Spain,13.1/4.7 C,8.9
2016-02-23,Spain,13.1/4.7 C,8.9
2016-02-24,Spain,13.1/4.7 C,8.9
2016-02-25,Spain,13.1/4.7 C,8.9
2016-02-26,Spain,13.1/4.7 C,8.9
2016-02-27,Spain,13.1/4.7 C,8.9
2016-02-28,Spain,13.1/4.7 C,8.9
2016-02-29,Spain,13.1/4.7 C,8.9
2016-03-01,Spain,13.1/4.7 C,8.9
2016-03-02,Spain,13.1/4.7 C,8.9
2016-03-03,Spain,13.8/5.4 C,9.6
2016-03-04,Spain,13.8/5.4 C,9.6
2016-03-05,Spain,13.8/5.4 C,9.6
2016-03-06,Spain,13.8/5.4 C,9.6
2016-03-07,Spain,13.8/5.4 C,9.6
2016-03-08,Spain,13.8/5.4 C,9.6
2016-03-09,Spain,13.8/5.4 C,9.6
2016-03-10,Spain,13.8/5.4 C,9.6
2016-03-11,Spain,13.8/5.4 C,9.6
2016-03-12,Spain,13.8/5.4 C,9.6
2016-03-13,Spain,13.8/5.4 C,9.6
2016-03-14,Spain,14.9/6.6 C,10.7
2016-03-15,Spain,14.9/6.6 C,10.7
2016-03-16,Spain,14.9/6.6 C,10.7
2016-03-17,Spain,14.9/6.6 C,10.7
2016-03-18,Spain,14.9/6.6 C,10.7
2016-03-19,Spain,14.9/6.6 C,10.7
2016-03-20,Spain,14.9/6.6 C,10.7
2016-03-21,Spain,14.9/6.6 C,10.7
2016-03-22,Spain,14.9/6.6 C,10.7
2016-03-23,Spain,14.9/6.6 C,10.7
2016-03-24,Spain,14.9/6.6 C,10.7
2016-03-25,Spain,14.9/6.6 C,10.7
2016-03-26,Spain,14.9/6.6 C,10.7
2016-03-27,Spain,14.9/6.6 C,10.7
