species;accession;code;incubator;petridish;total;viable;date;germinated
Cerastium ramosissimum;150721-05;150721-05;Fellfield;1;25;25;03/04/2022;0
Cerastium ramosissimum;150721-05;150721-05;Fellfield;2;25;24;03/04/2022;0
Cerastium ramosissimum;150721-05;150721-05;Fellfield;3;25;25;03/04/2022;0
Cerastium ramosissimum;150721-05;150721-05;Fellfield;4;25;25;03/04/2022;0
Spergula morisonii;150721-01;150721-01;Fellfield;1;25;14;03/04/2022;0
Spergula morisonii;150721-01;150721-01;Fellfield;2;25;25;03/04/2022;0
Spergula morisonii;150721-01;150721-01;Fellfield;3;25;21;03/04/2022;0
Spergula morisonii;150721-01;150721-01;Fellfield;4;25;20;03/04/2022;0
Cerastium ramosissimum;280721-02;280721-02;Fellfield;1;25;24;03/04/2022;0
Cerastium ramosissimum;280721-02;280721-02;Fellfield;2;25;24;03/04/2022;0
Cerastium ramosissimum;280721-02;280721-02;Fellfield;3;25;22;03/04/2022;0
Cerastium ramosissimum;280721-02;280721-02;Fellfield;4;25;18;03/04/2022;0
Spergula morisonii;280721-01;280721-01;Fellfield;1;17;13;03/04/2022;0
Spergula morisonii;280721-01;280721-01;Fellfield;2;17;11;03/04/2022;0
Spergula morisonii;280721-01;280721-01;Fellfield;3;17;12;03/04/2022;0
Spergula morisonii;280721-01;280721-01;Fellfield;4;17;16;03/04/2022;0
Dianthus langeanus;110821-01;110821-01;Fellfield;1;25;25;03/04/2022;0
Dianthus langeanus;120821-02;120821-02;Fellfield;2;25;24;03/04/2022;0
Minuartia recurva;110821-07;110821-07;Fellfield;1;25;23;03/04/2022;0
Minuartia recurva;110821-07;110821-07;Fellfield;3;25;22;03/04/2022;0
Minuartia recurva;110821-07;110821-07;Fellfield;4;24;22;03/04/2022;0
Minuartia recurva;120821-01;120821-01;Fellfield;2;25;24;03/04/2022;0
Minuartia recurva;120821-01;120821-01;Fellfield;4;25;23;03/04/2022;0
Jurinea humilis;110821-06;110821-06;Fellfield;2;16;3;03/04/2022;0
Jurinea humilis;110821-06;110821-06;Fellfield;3;18;7;03/04/2022;0
Jurinea humilis;110821-06;110821-06;Fellfield;4;15;4;03/04/2022;0
Jurinea humilis;120821-03;120821-03;Fellfield;4;25;9;03/04/2022;0
Luzula caespitosa;110821-03;110821-03;Fellfield;1;25;6;03/04/2022;0
Luzula caespitosa;110821-03;110821-03;Fellfield;2;25;5;03/04/2022;0
Luzula caespitosa;110821-03;110821-03;Fellfield;3;25;11;03/04/2022;0
Luzula caespitosa;110821-03;110821-03;Fellfield;4;25;10;03/04/2022;0
Thymus praecox;110821-05;110821-05;Fellfield;1;25;21;03/04/2022;0
Thymus praecox;110821-05;110821-05;Fellfield;2;25;16;03/04/2022;0
Thymus praecox;110821-05;110821-05;Fellfield;3;25;20;03/04/2022;0
Thymus praecox;110821-05;110821-05;Fellfield;4;25;19;03/04/2022;0
Luzula caespitosa;120821-04;120821-04;Fellfield;1;25;8;03/04/2022;0
Luzula caespitosa;120821-04;120821-04;Fellfield;2;25;12;03/04/2022;0
Luzula caespitosa;120821-04;120821-04;Fellfield;3;25;4;03/04/2022;0
Luzula caespitosa;120821-04;120821-04;Fellfield;4;25;8;03/04/2022;0
Thymus praecox;120821-06;120821-06;Fellfield;3;25;23;03/04/2022;0
Thymus praecox;120821-06;120821-06;Fellfield;4;25;20;03/04/2022;0
Phalacrocarpum oppositifolium;110821-02;110821-02;Fellfield;1;25;15;03/04/2022;0
Phalacrocarpum oppositifolium;110821-02;110821-02;Fellfield;3;25;19;03/04/2022;0
Phalacrocarpum oppositifolium;110821-02;110821-02;Fellfield;4;25;18;03/04/2022;0
Phalacrocarpum oppositifolium;120821-05;120821-05;Fellfield;1;12;4;03/04/2022;0
Conopodium majus;240821-03;240821-03;Fellfield;1;25;6;03/04/2022;0
Conopodium majus;240821-03;240821-03;Fellfield;2;25;6;03/04/2022;0
Conopodium majus;240821-03;240821-03;Fellfield;3;25;12;03/04/2022;0
Conopodium majus;240821-03;240821-03;Fellfield;4;24;4;03/04/2022;0
Helictochloa marginata;240821-06;240821-06;Fellfield;1;15;2;03/04/2022;0
Helictochloa marginata;240821-06;240821-06;Fellfield;2;15;2;03/04/2022;0
Neoschischkinia truncatula;240821-07;240821-07;Fellfield;1;25;23;03/04/2022;0
Neoschischkinia truncatula;240821-07;240821-07;Fellfield;2;25;25;03/04/2022;0
Neoschischkinia truncatula;240821-07;240821-07;Fellfield;3;25;23;03/04/2022;0
Solidago virgaurea;240821-08;240821-08;Fellfield;1;25;19;03/04/2022;0
Sedum anglicum;240821-09;240821-09;Fellfield;1;25;24;03/04/2022;0
Sedum anglicum;240821-09;240821-09;Fellfield;2;25;23;03/04/2022;0
Sedum anglicum;240821-09;240821-09;Fellfield;3;25;24;03/04/2022;0
Sedum anglicum;240821-09;240821-09;Fellfield;4;25;25;03/04/2022;0
Phyteuma hemisphaericum;240821-10;240821-10;Fellfield;1;25;20;03/04/2022;0
Phyteuma hemisphaericum;240821-10;240821-10;Fellfield;2;25;25;03/04/2022;0
Phyteuma hemisphaericum;240821-10;240821-10;Fellfield;3;24;22;03/04/2022;0
Phyteuma hemisphaericum;240821-10;240821-10;Fellfield;4;25;24;03/04/2022;0
Sedum brevifolium;240821-11;240821-11;Fellfield;1;25;24;03/04/2022;0
Sedum brevifolium;240821-11;240821-11;Fellfield;2;25;25;03/04/2022;0
Sedum brevifolium;240821-11;240821-11;Fellfield;3;25;25;03/04/2022;0
Sedum brevifolium;240821-11;240821-11;Fellfield;4;25;25;03/04/2022;0
Armeria duriaei;250821-01;250821-01;Fellfield;1;25;19;03/04/2022;0
Armeria duriaei;250821-01;250821-01;Fellfield;2;25;20;03/04/2022;0
Armeria duriaei;250821-01;250821-01;Fellfield;3;24;20;03/04/2022;0
Armeria duriaei;250821-01;250821-01;Fellfield;4;25;23;03/04/2022;0
Festuca summilusitana;250821-02;250821-02;Fellfield;4;25;9;03/04/2022;0
Neoschischkinia truncatula;250821-03;250821-03;Fellfield;1;25;24;03/04/2022;0
Neoschischkinia truncatula;250821-03;250821-03;Fellfield;2;25;23;03/04/2022;0
Neoschischkinia truncatula;250821-03;250821-03;Fellfield;3;25;22;03/04/2022;0
Neoschischkinia truncatula;250821-03;250821-03;Fellfield;4;25;18;03/04/2022;0
Conopodium majus;250821-04;250821-04;Fellfield;1;25;12;03/04/2022;0
Conopodium majus;250821-04;250821-04;Fellfield;2;25;12;03/04/2022;0
Conopodium majus;250821-04;250821-04;Fellfield;3;25;15;03/04/2022;0
Conopodium majus;250821-04;250821-04;Fellfield;4;25;17;03/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;1;25;0;03/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;2;22;2;03/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;3;22;5;03/04/2022;0
Agrostis tileni;250821-06;250821-06;Fellfield;4;22;2;03/04/2022;0
Phyteuma hemisphaericum;250821-07;250821-07;Fellfield;1;25;23;03/04/2022;0
Phyteuma hemisphaericum;250821-07;250821-07;Fellfield;2;25;24;03/04/2022;0
Phyteuma hemisphaericum;250821-07;250821-07;Fellfield;3;25;23;03/04/2022;0
Phyteuma hemisphaericum;250821-07;250821-07;Fellfield;4;25;16;03/04/2022;0
Plantago holosteum;250821-12;250821-12;Fellfield;1;25;25;03/04/2022;0
Plantago holosteum;250821-12;250821-12;Fellfield;3;25;25;03/04/2022;0
Plantago holosteum;250821-12;250821-12;Fellfield;4;25;25;03/04/2022;0
Solidago virgaurea;250821-13;250821-13;Fellfield;1;25;22;03/04/2022;0
Solidago virgaurea;250821-13;250821-13;Fellfield;2;25;25;03/04/2022;0
Solidago virgaurea;250821-13;250821-13;Fellfield;3;25;23;03/04/2022;0
Solidago virgaurea;250821-13;250821-13;Fellfield;4;25;22;03/04/2022;0
Androsace villosa;300821-03;300821-03;Fellfield;1;25;24;03/04/2022;0
Androsace villosa;300821-03;300821-03;Fellfield;2;25;25;03/04/2022;0
Androsace villosa;300821-03;300821-03;Fellfield;3;25;25;03/04/2022;0
Androsace villosa;300821-03;300821-03;Fellfield;4;25;24;03/04/2022;0
Anthyllis vulneraria;300821-04;300821-04;Fellfield;1;25;3;03/04/2022;0
Anthyllis vulneraria;300821-04;300821-04;Fellfield;2;25;3;03/04/2022;0
Anthyllis vulneraria;300821-04;300821-04;Fellfield;3;25;4;03/04/2022;0
Anthyllis vulneraria;300821-04;300821-04;Fellfield;4;25;3;03/04/2022;0
Helianthemum canum;300821-05;300821-05;Fellfield;1;25;23;03/04/2022;0
Helianthemum canum;300821-05;300821-05;Fellfield;2;25;18;03/04/2022;0
Helianthemum canum;300821-05;300821-05;Fellfield;3;25;22;03/04/2022;0
Helianthemum canum;300821-05;300821-05;Fellfield;4;25;24;03/04/2022;0
Minuartia verna;300821-06;300821-06;Fellfield;1;25;25;03/04/2022;0
Minuartia verna;300821-06;300821-06;Fellfield;2;25;24;03/04/2022;0
Minuartia verna;300821-06;300821-06;Fellfield;3;25;23;03/04/2022;0
Minuartia verna;300821-06;300821-06;Fellfield;4;25;23;03/04/2022;0
Thymus praecox;300821-07;300821-07;Fellfield;1;25;22;03/04/2022;0
Thymus praecox;300821-07;300821-07;Fellfield;2;25;23;03/04/2022;0
Thymus praecox;300821-07;300821-07;Fellfield;3;25;25;03/04/2022;0
Thymus praecox;300821-07;300821-07;Fellfield;4;25;24;03/04/2022;0
Helictotrichon sedenense;300821-09;300821-09;Fellfield;1;25;4;03/04/2022;0
