id;species;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;cold_germ;warm_germ;t50;heat_sum;delayS_F;family;macroclimate;habitat;germ_strategy
1;Agrostis tileni;14;14;10.15;100;0;0.64;0.05;0;0.5;0.5;263.56;699.33;76.21;Poaceae;Mediterranean;Specialist;Late_season
2;Androsace villosa;2;374;93.5;0.57;0;0;0;0;0;0.01;NA;NA;NA;Primulaceae;Temperate;Specialist;Sporadic_low
3;Anthyllis vulneraria;7;275;45.92;4.28;0.01;0.01;0;0;0;0;NA;NA;NA;Fabaceae;Temperate;Not_specialist;Biphasic
4;Arenaria erinacea;25;194;97.48;12.89;0.12;0;0;0;0;0.01;NA;NA;NA;Caryophyllaceae;Temperate;Specialist;Autumn
5;Arenaria moehringioides;40;96;80;41.5;0.02;0.28;0;0.08;0.19;0.13;283;930;22;Caryophyllaceae;Temperate;Specialist;Early_season
6;Armeria cantabrica;147;156;69.72;95.46;0.01;0.27;0;0.08;0.11;0.75;261.01;664.65;39.8;Plumbaginaceae;Temperate;Specialist;Late_season
7;Armeria duriaei;500;526;87.94;95.18;0.7;0.03;0;0.03;0;0.22;80.61;403.87;70.5;Plumbaginaceae;Mediterranean;Specialist;Autumn
8;Carex sempervirens;313;315;80.93;99.03;0;0.45;0;0;0.14;0.85;263.88;619.38;38.04;Cyperaceae;Temperate;Specialist;Late_season
9;Cerastium pumilum;259;463;92.6;57.53;0.56;0;0;0;0;0;37.05;543.58;2.33;Caryophyllaceae;Mediterranean;Not_specialist;Autumn
10;Conopodium majus;283;289;57.83;97.94;0;0.98;0;0.6;0.37;0.01;204.88;378.75;6.49;Apiaceae;Mediterranean;Not_specialist;Early_season
11;Dethawia splendens;105;108;69.59;97.24;0;0.96;0.01;0.42;0.55;0.01;221.68;362.75;17.5;Apiaceae;Temperate;Specialist;Early_season
12;Dianthus langeanus;586;586;97.83;100;0.8;0.2;0;0.1;0.1;0;34.25;70.77;81.97;Caryophyllaceae;Mediterranean;Not_specialist;Autumn
13;Erigeron alpinus;197;197;98.5;100;0;0.71;0;0.02;0.69;0.29;240.7;397.13;41.89;Asteraceae;Temperate;Specialist;Late_season
14;Euphrasia salisburgensis;4;395;98.75;1.01;0;0.01;0;0;0;0.01;NA;NA;NA;Orobanchaceae;Temperate;Specialist;Sporadic_low
15;Festuca hystrix;43;48;66.43;93.42;0.75;0.08;0;0.06;0;0.08;68.96;165.5;107.74;Poaceae;Temperate;Not_specialist;Biphasic
16;Festuca rubra;1;1;4;100;0;1;1;0;1;0;239.5;651;NA;Poaceae;Temperate;Not_specialist;Late_season
17;Festuca summilusitana;353;370;61.88;96.65;0.56;0.35;0;0.34;0.01;0.04;54.7;170.79;21.68;Poaceae;Mediterranean;Specialist;Autumn
18;Gentiana verna;22;277;69.75;8.68;0;0.08;0;0.04;0.04;0;NA;NA;NA;Gentianaceae;Temperate;Specialist;Early_season
19;Gentianella campestris;0;197;98.5;0;0;0;0;0;0;0;NA;NA;NA;Gentianaceae;Temperate;Not_specialist;Sporadic_low
20;Gypsophila repens;310;318;80.33;97.58;0.08;0.36;0;0.01;0.32;0.56;256.04;544.94;51.55;Caryophyllaceae;Temperate;Not_specialist;Early_season
