species;accession;code;incubator;petridish;mgr;syn
Agrostis tileni;250821-06;250821-06;Fellfield;2;0.004608295;1
Agrostis tileni;250821-06;250821-06;Fellfield;3;0.004578755;0.6
Agrostis tileni;250821-06;250821-06;Fellfield;4;0.003968254;1
Agrostis tileni;250821-06;250821-06;Snowbed;1;0.003623188;
Agrostis tileni;250821-06;250821-06;Snowbed;3;0.002747253;
Agrostis tileni;250821-06;250821-06;Snowbed;4;0.003623188;1
Androsace villosa;300821-03;300821-03;Fellfield;1;;
Androsace villosa;300821-03;300821-03;Fellfield;2;;
Androsace villosa;300821-03;300821-03;Fellfield;3;;
Androsace villosa;300821-03;300821-03;Fellfield;4;;
Androsace villosa;300821-03;300821-03;Snowbed;1;;
Androsace villosa;300821-03;300821-03;Snowbed;2;;
Androsace villosa;300821-03;300821-03;Snowbed;3;;
Androsace villosa;300821-03;300821-03;Snowbed;4;;
Androsace villosa;310821-11;310821-11;Fellfield;1;;
Androsace villosa;310821-11;310821-11;Fellfield;2;;
Androsace villosa;310821-11;310821-11;Fellfield;3;;
Androsace villosa;310821-11;310821-11;Fellfield;4;;
Androsace villosa;310821-11;310821-11;Snowbed;1;0.003311258;
Androsace villosa;310821-11;310821-11;Snowbed;2;;
Androsace villosa;310821-11;310821-11;Snowbed;3;0.003174603;
Androsace villosa;310821-11;310821-11;Snowbed;4;;
Anthyllis vulneraria;300821-04;300821-04;Fellfield;1;;
Anthyllis vulneraria;300821-04;300821-04;Fellfield;2;;
Anthyllis vulneraria;300821-04;300821-04;Fellfield;3;;
Anthyllis vulneraria;300821-04;300821-04;Fellfield;4;0.0625;
Anthyllis vulneraria;300821-04;300821-04;Snowbed;1;;
Anthyllis vulneraria;300821-04;300821-04;Snowbed;2;0.0625;
Anthyllis vulneraria;300821-04;300821-04;Snowbed;3;0.0625;
Anthyllis vulneraria;300821-04;300821-04;Snowbed;4;;
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;5;;
Anthyllis vulneraria;300821-04;300821-04b;Fellfield;6;;
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;;
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;5;;
Anthyllis vulneraria;300821-04;300821-04b;Snowbed;6;0.004291845;
Anthyllis vulneraria;310821-12;310821-12;Fellfield;1;;
Anthyllis vulneraria;310821-12;310821-12;Fellfield;2;;
Anthyllis vulneraria;310821-12;310821-12;Fellfield;3;;
Anthyllis vulneraria;310821-12;310821-12;Fellfield;4;0.006451613;0
Anthyllis vulneraria;310821-12;310821-12;Snowbed;1;;
Anthyllis vulneraria;310821-12;310821-12;Snowbed;2;;
Anthyllis vulneraria;310821-12;310821-12;Snowbed;3;;
Anthyllis vulneraria;310821-12;310821-12;Snowbed;4;;
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;5;0.004926108;
Anthyllis vulneraria;310821-12;310821-12b;Fellfield;6;;
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;5;;
Anthyllis vulneraria;310821-12;310821-12b;Snowbed;6;;
Arenaria erinacea;300821-08;300821-08;Fellfield;1;0.040229885;0.4285714
Arenaria erinacea;300821-08;300821-08;Fellfield;2;0.038961039;0.2666667
Arenaria erinacea;300821-08;300821-08;Fellfield;3;0.039370079;0.4
Arenaria erinacea;300821-08;300821-08;Fellfield;4;0.042553191;0.3333333
Arenaria erinacea;300821-08;300821-08;Snowbed;1;;
Arenaria erinacea;300821-08;300821-08;Snowbed;2;0.002949853;
Arenaria erinacea;300821-08;300821-08;Snowbed;3;0.03030303;
Arenaria erinacea;300821-08;300821-08;Snowbed;4;0.03030303;
Arenaria moehringioides;140921-02;140921-02;Fellfield;1;0.004409603;0.08333333
Arenaria moehringioides;140921-02;140921-02;Fellfield;2;0.004466501;0.19444444
Arenaria moehringioides;140921-02;140921-02;Fellfield;3;0.006741573;0.13333333
Arenaria moehringioides;140921-02;140921-02;Snowbed;1;0.003924133;0.2
Arenaria moehringioides;140921-02;140921-02;Snowbed;2;0.004267425;0.33333333
Arenaria moehringioides;140921-02;140921-02;Snowbed;3;0.003880266;0.04761905
Armeria cantabrica;130921-15;130921-15;Fellfield;1;0.003819366;0.05882353
Armeria cantabrica;130921-15;130921-15;Fellfield;2;0.00383574;0.36029412
Armeria cantabrica;130921-15;130921-15;Fellfield;3;0.004072832;0.11029412
Armeria cantabrica;130921-15;130921-15;Fellfield;4;0.003701876;0.0952381
Armeria cantabrica;130921-15;130921-15;Snowbed;1;0.003739589;0.16883117
