species;macroclimate;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Agrostis tileni;Mediterranean;14;14;10.15166667;100;0;0.642857143;0.045918367;0;263.5625;699.3333333;4.436;Poaceae;Specialist;Late_season
Androsace villosa;Temperate;2;374;93.5;0.56875;0;0;0;0;NA;NA;66.6;Primulaceae;Specialist;Sporadic_low
Anthyllis vulneraria;Temperate;7;275;45.91666667;4.27875;0.014545455;0.007272727;2.64E-05;0.003636364;NA;NA;215.9473684;Fabaceae;Not_specialist;Biphasic
Arenaria erinacea;Temperate;25;194;97.47875;12.88625;0.12371134;0;0;0;NA;NA;19.087;Caryophyllaceae;Specialist;Autumn
Arenaria moehringioides;Temperate;40;96;80;41.49666667;0.020833333;0.28125;0.002929688;0.083333333;283;930;NA;Caryophyllaceae;Specialist;Early_season
Armeria cantabrica;Temperate;147;156;69.72;95.456;0.006410256;0.269230769;0.001725838;0.076923077;261.0144444;664.65;90.78571429;Plumbaginaceae;Specialist;Late_season
Armeria duriaei;Mediterranean;500;526;87.94416667;95.18083333;0.701520913;0.030418251;5.78E-05;0.02661597;80.60611666;403.8695652;75.698;Plumbaginaceae;Specialist;Autumn
Carex sempervirens;Temperate;313;315;80.93;99.033125;0;0.453968254;0.001441169;0;263.877801;619.375;47;Cyperaceae;Specialist;Late_season
Cerastium pumilum;Mediterranean;259;463;92.6;57.527;0.557235421;0;0;0;37.05072982;543.5833333;6.563;Caryophyllaceae;Not_specialist;Autumn
Conopodium majus;Mediterranean;283;289;57.8335;97.941;0;0.975778547;0.003376396;0.602076125;204.881006;378.75;75.499;Apiaceae;Not_specialist;Early_season
Dethawia splendens;Temperate;105;108;69.58625;97.24375;0;0.962962963;0.008916324;0.416666667;221.6817963;362.75;140;Apiaceae;Specialist;Early_season
Dianthus langeanus;Mediterranean;586;586;97.82625;100;0.800341297;0.197952218;0.000337802;0.102389078;34.24640312;70.77083333;42.564;Caryophyllaceae;Not_specialist;Autumn
Erigeron alpinus;Temperate;197;197;98.5;100;0;0.705583756;0.003581643;0.015228426;240.6963235;397.125;6.941428571;Asteraceae;Specialist;Late_season
Euphrasia salisburgensis;Temperate;4;395;98.75;1.010625;0;0.005063291;1.28E-05;0.002531646;NA;NA;7.936;Orobanchaceae;Specialist;Sporadic_low
Festuca hystrix;Temperate;43;48;66.4275;93.42;0.75;0.083333333;0.001736111;0.0625;68.96354167;165.5;NA;Poaceae;Not_specialist;Biphasic
Festuca rubra;Temperate;1;1;4;100;0;1;1;0;239.5;651;6.723;Poaceae;Not_specialist;Late_season
Festuca summilusitana;Mediterranean;353;370;61.87916667;96.64875;0.564864865;0.345945946;0.000934989;0.335135135;54.70057925;170.7916667;82.3439;Poaceae;Specialist;Autumn
