species;community;incubator;seeds_germ;viable;viablePER;germPER;autumn_germ;spring_germ;summer_germ;winter_germ;t50;heat_sum;mass_50;family;habitat;germ_strategy
Agrostis tileni;Mediterranean;Fellfield;9;9;13.63666667;100;0;1;0.111111111;0;225.4583333;580.5;4.436;Poaceae;Specialist;Late_season
Agrostis tileni;Mediterranean;Snowbed;5;5;6.666666667;100;0;0;0;0;301.6666667;818.1666667;4.436;Poaceae;Specialist;Late_season
Androsace villosa;Temperate;Fellfield;0;188;94;0;0;0;0;0;NA;NA;66.6;Primulaceae;Specialist;Sporadic_low
Androsace villosa;Temperate;Snowbed;2;186;93;1.1375;0;0;0;0;NA;NA;66.6;Primulaceae;Specialist;Sporadic_low
Anthyllis vulneraria;Temperate;Fellfield;4;127;42.33333333;6.458333333;0.015748031;0.007874016;6.20E-05;0;NA;NA;215.9473684;Fabaceae;Not_specialist;Biphasic
Anthyllis vulneraria;Temperate;Snowbed;3;148;49.5;2.099166667;0.013513514;0.006756757;4.57E-05;0.006756757;NA;NA;215.9473684;Fabaceae;Not_specialist;Biphasic
Arenaria erinacea;Temperate;Fellfield;22;97;97.9575;22.685;0.226804124;0;0;0;NA;NA;19.087;Caryophyllaceae;Specialist;Autumn
Arenaria erinacea;Temperate;Snowbed;3;97;97;3.0875;0.020618557;0;0;0;NA;NA;19.087;Caryophyllaceae;Specialist;Autumn
Arenaria moehringioides;Temperate;Fellfield;24;52;86.66666667;45.79;0.038461538;0.365384615;0.007026627;0;272;1076.5;NA;Caryophyllaceae;Specialist;Early_season
Arenaria moehringioides;Temperate;Snowbed;16;44;73.33333333;37.20333333;0;0.181818182;0.004132231;0.181818182;294;783.5;NA;Caryophyllaceae;Specialist;Early_season
Armeria cantabrica;Temperate;Fellfield;70;75;69.63;94.94;0.013333333;0.386666667;0.005155556;0;246.4233333;759.2;90.78571429;Plumbaginaceae;Specialist;Late_season
Armeria cantabrica;Temperate;Snowbed;77;81;69.81;95.972;0;0.160493827;0.001981405;0.148148148;275.6055556;570.1;90.78571429;Plumbaginaceae;Specialist;Late_season
Armeria duriaei;Mediterranean;Fellfield;255;261;87.2775;97.74333333;0.796934866;0.045977011;0.000176157;0.042145594;65.75124865;381.2083333;75.698;Plumbaginaceae;Specialist;Autumn
Armeria duriaei;Mediterranean;Snowbed;245;265;88.61083333;92.61833333;0.60754717;0.01509434;5.70E-05;0.011320755;96.81142721;428.5909091;75.698;Plumbaginaceae;Specialist;Autumn
Carex sempervirens;Temperate;Fellfield;155;156;78.25;99.1075;0;0.916666667;0.005876068;0;244.85625;695.5625;47;Cyperaceae;Specialist;Late_season
