Site,month,week,order,T,X,N
Fellfield site,January,1,24,-0.720042532,-0.372987402,-1.024571711
Fellfield site,January,2,25,-1.618367072,-1.064156701,-2.11160074
Fellfield site,January,3,26,-1.405997523,-0.901338189,-1.854479255
Fellfield site,January,4,27,-1.185381433,-0.521294361,-1.685658059
Fellfield site,February,5,28,-0.725454626,-0.28146336,-1.122670078
Fellfield site,February,6,29,-1.100463371,-0.710502184,-1.409680015
Fellfield site,February,7,30,-1.108719272,-0.697280782,-1.470418795
Fellfield site,February,8,31,-0.717392005,-0.347560665,-1.030868449
Fellfield site,March,9,32,-0.436450138,-0.100501048,-0.677817199
Fellfield site,March,10,33,-0.231408501,0.075799861,-0.464274718
Fellfield site,March,11,34,0.732308795,1.639164891,0.148598591
Fellfield site,March,12,35,1.092866682,2.495291846,0.236422381
Fellfield site,March,13,36,1.712929118,3.152420379,0.749039475
Fellfield site,April,14,37,2.448562841,4.521459338,1.089346516
Fellfield site,April,15,38,3.844356236,6.411371082,2.007518567
Fellfield site,April,16,39,4.106326836,5.983216028,2.673086415
Fellfield site,April,17,40,4.398157052,6.612080469,2.795113789
Fellfield site,May,18,41,5.411405037,8.236878101,3.320384938
Fellfield site,May,19,42,7.898446701,11.02920227,5.52411399
Fellfield site,May,20,43,9.823605334,13.74795163,6.817143938
Fellfield site,May,21,44,10.71526949,14.5242632,7.692106493
Fellfield site,June,22,45,11.52212958,15.22784088,8.583178014
Fellfield site,June,23,46,12.57098609,16.22783425,9.638547795
Fellfield site,June,24,47,12.05679741,15.48552773,9.344271193
Fellfield site,June,25,48,13.79951832,17.69486086,10.76491067
Fellfield site,June,26,49,15.31531447,19.32236792,12.03179606
Fellfield site,July,27,50,16.46577862,20.35949228,13.33047627
Fellfield site,July,28,51,16.79874206,20.95511435,13.39935581
Fellfield site,July,29,52,17.84689835,21.71188928,14.62764608
Fellfield site,July,30,53,18.16634156,22.2529,14.91925715
Fellfield site,August,31,54,18.12486254,22.05620475,15.01820119
Fellfield site,August,32,55,17.91759209,22.02807613,14.66441843
Fellfield site,August,33,56,17.85700253,21.68755117,14.78760474
Fellfield site,August,34,57,17.90720014,21.58539648,14.91691834
Fellfield site,August,35,58,16.51505671,20.07445236,13.76327678
Fellfield site,September,36,59,15.55674601,18.92057619,12.94047726
Fellfield site,September,37,60,14.00200045,17.26143632,11.46105058
Fellfield site,August,31,1,18.12486254,22.05620475,15.01820119
Fellfield site,August,32,2,17.91759209,22.02807613,14.66441843
Fellfield site,August,33,3,17.85700253,21.68755117,14.78760474
Fellfield site,August,34,4,17.90720014,21.58539648,14.91691834
Fellfield site,August,35,5,16.51505671,20.07445236,13.76327678
Fellfield site,September,36,6,15.55674601,18.92057619,12.94047726
Fellfield site,September,37,7,14.00200045,17.26143632,11.46105058
Fellfield site,September,38,8,12.02817179,14.77465166,9.902457985
Fellfield site,September,39,9,11.51795178,14.428602,9.331039055
Fellfield site,October,40,10,10.63854467,13.47492286,8.591958928
Fellfield site,October,41,11,9.083794045,11.34649187,7.40263318
Fellfield site,October,42,12,6.998170564,8.806579022,5.60281539
Fellfield site,October,43,13,5.97873576,7.707729558,4.779039125
Fellfield site,October,44,14,4.84442783,6.213963844,3.844449461
Fellfield site,November,45,15,3.487336622,4.627305933,2.714793629
Fellfield site,November,46,16,2.779688393,3.948816574,2.035037044
Fellfield site,November,47,17,2.011163344,2.751175716,1.534843835
Fellfield site,November,48,18,0.975248153,1.489754813,0.61968381
Fellfield site,December,49,19,0.21059428,0.700216457,-0.17219816
Fellfield site,December,50,20,-0.356526497,0.092480309,-0.784227343
Fellfield site,December,51,21,-0.070238934,0.256689027,-0.391257674
Fellfield site,December,52,22,-0.426314081,-0.026594612,-0.796846408
Fellfield site,December,53,23,-0.37942969,-0.071726898,-0.654643364
Snowbed site,January,1,24,-0.115191822,-0.078865067,-0.158581338
Snowbed site,January,2,25,-0.321090563,-0.279922921,-0.352542072
Snowbed site,January,3,26,-0.142112278,-0.117827958,-0.164249354
Snowbed site,January,4,27,-0.250497576,-0.221279665,-0.275369287
Snowbed site,February,5,28,-0.175304282,-0.153119334,-0.194106268
Snowbed site,February,6,29,-0.167962974,-0.15059594,-0.185200733
Snowbed site,February,7,30,-0.189602477,-0.176406107,-0.203237304
Snowbed site,February,8,31,-0.175909749,-0.164336238,-0.187396131
Snowbed site,March,9,32,-0.141735292,-0.132445421,-0.15153801
Snowbed site,March,10,33,-0.115127164,-0.105625878,-0.125024484
Snowbed site,March,11,34,-0.068047465,-0.060291091,-0.077537282
Snowbed site,March,12,35,-0.055488017,-0.04916119,-0.061782079
Snowbed site,March,13,36,-0.053990117,-0.047179651,-0.060754756
Snowbed site,April,14,37,-0.047396503,-0.041565043,-0.053480209
Snowbed site,April,15,38,-0.050623645,-0.043802348,-0.058093444
Snowbed site,April,16,39,-0.055236019,-0.049368007,-0.061769335
Snowbed site,April,17,40,-0.060442591,-0.054249782,-0.067126668
Snowbed site,May,18,41,-0.065694923,-0.058799164,-0.07353874
Snowbed site,May,19,42,-0.06689564,-0.038366156,-0.080939513
Snowbed site,May,20,43,0.507637967,0.877764641,0.232129234
Snowbed site,May,21,44,2.313586669,3.498865527,1.275511292
Snowbed site,June,22,45,4.150755607,6.475597167,2.304756829
Snowbed site,June,23,46,5.6260681,8.230685873,3.539951575
Snowbed site,June,24,47,5.813420568,8.108354149,3.979199094
Snowbed site,June,25,48,9.301437793,13.27654616,6.011888521
Snowbed site,June,26,49,11.3465249,15.25421801,7.952814401
Snowbed site,July,27,50,12.65672609,16.67894846,9.251958244
Snowbed site,July,28,51,14.18771661,19.13613227,10.02499939
Snowbed site,July,29,52,15.1094152,19.43839824,11.39802392
Snowbed site,July,30,53,15.39540409,19.8251024,11.63468843
Snowbed site,August,31,54,15.14411578,19.40223336,11.59619801
Snowbed site,August,32,55,14.80170947,19.19359176,11.22940367
Snowbed site,August,33,56,14.88123771,19.03178335,11.47797823
Snowbed site,August,34,57,14.83062654,18.62956789,11.70465892
Snowbed site,August,35,58,13.1622648,16.81947852,10.18243035
Snowbed site,September,36,59,11.98445361,15.43640498,9.265031549
Snowbed site,September,37,60,10.49505499,13.90590275,7.772847621
Snowbed site,August,31,1,15.14411578,19.40223336,11.59619801
Snowbed site,August,32,2,14.80170947,19.19359176,11.22940367
Snowbed site,August,33,3,14.88123771,19.03178335,11.47797823
Snowbed site,August,34,4,14.83062654,18.62956789,11.70465892
Snowbed site,August,35,5,13.1622648,16.81947852,10.18243035
Snowbed site,September,36,6,11.98445361,15.43640498,9.265031549
