community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Mediterranean;Agrostis tileni;Poaceae;250821-06;25/08/2021;Fellfield;0.43;66;9;13.64;9;100;0;100;0;0;225.4583333;574.3333333;0.00439;0.867
Mediterranean;Agrostis tileni;Poaceae;250821-06;25/08/2021;Snowbed;0.43;75;5;6.67;5;100;0;0;100;0;301.6666667;817.5;0.00333;1
Temperate;Androsace villosa;Primulaceae;300821-03;30/08/2021;Fellfield;0.85;100;98;98;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Androsace villosa;Primulaceae;300821-03;30/08/2021;Snowbed;0.85;100;99;99;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Androsace villosa;Primulaceae;310821-11;31/08/2021;Fellfield;0.85;100;90;90;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Androsace villosa;Primulaceae;310821-11;31/08/2021;Snowbed;0.85;100;87;87;2;2.3;0;0;2.3;0;NA;NA;0.0032;NA
Temperate;Anthyllis vulneraria;Fabaceae;300821-04;30/08/2021;Fellfield;2.71;150;57;50.5;1;3.845;3.845;0;0;0;NA;NA;NA;NA
Temperate;Anthyllis vulneraria;Fabaceae;300821-04;30/08/2021;Snowbed;2.71;149;67;50.155;3;4.415;2.855;1.56;0;1.56;NA;NA;0.033395923;NA
Temperate;Anthyllis vulneraria;Fabaceae;310821-12;31/08/2021;Fellfield;2.71;150;70;58;3;5.25;2.085;1.085;2.085;0;NA;NA;0.005688861;0
Temperate;Anthyllis vulneraria;Fabaceae;310821-12;31/08/2021;Snowbed;2.71;150;81;61;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Arenaria erinacea;Caryophyllaceae;300821-08;30/08/2021;Fellfield;0.16;99;97;97.98;22;22.68;22.68;0;0;0;NA;NA;0.0403;0.357
Temperate;Arenaria erinacea;Caryophyllaceae;300821-08;30/08/2021;Snowbed;0.16;100;97;97;3;3.09;2.06;0;1.03;0;NA;NA;0.0299;NA
Temperate;Arenaria moehringioides;Caryophyllaceae;140921-02;14/09/2021;Fellfield;0.04;60;52;86.67;24;46.15;3.85;36.54;5.77;0;272;1082.5;0.00521;0.137
Temperate;Arenaria moehringioides;Caryophyllaceae;140921-02;14/09/2021;Snowbed;0.04;60;44;73.33;16;36.36;0;18.18;18.18;18.18;294;792;0.00402;0.194
Temperate;Armeria cantabrica;Plumbaginaceae;130921-15;13/09/2021;Fellfield;1.37;91;71;78.02;66;92.96;1.41;36.62;54.93;0;251.9041667;836.375;0.00386;0.156
Temperate;Armeria cantabrica;Plumbaginaceae;130921-15;13/09/2021;Snowbed;1.37;97;78;80.41;74;94.87;0;16.67;78.21;15.38;274.0069444;567;0.00356;0.17
Temperate;Armeria cantabrica;Plumbaginaceae;140921-07;14/09/2021;Fellfield;1.37;11;4;36.36;4;100;0;75;25;0;224.5;472;0.00411;0.167
Temperate;Armeria cantabrica;Plumbaginaceae;140921-07;14/09/2021;Snowbed;1.37;11;3;27.27;3;100;0;0;100;0;282;626.5;0.0035;0
Mediterranean;Armeria duriaei;Plumbaginaceae;240821-01;24/08/2021;Fellfield;0.88;150;134;90;134;100;75;10.87;14.13;9.785;33.24026387;106;0.034585;0.593
Mediterranean;Armeria duriaei;Plumbaginaceae;240821-01;24/08/2021;Snowbed;0.88;150;133;89;132;99.43;46.59;2.22;50.62;1.11;162.3122086;655.75;0.02182;0.42
Mediterranean;Armeria duriaei;Plumbaginaceae;250821-01;25/08/2021;Fellfield;0.88;149;127;86.415;121;93.335;67.17;2.22;23.945;2.22;156.7186404;940.875;0.022655;0.498
Mediterranean;Armeria duriaei;Plumbaginaceae;250821-01;25/08/2021;Snowbed;0.88;149;132;90.425;113;80.655;47.025;1.19;32.44;1.19;168.6557765;715.3125;0.01371;0.388
Temperate;Carex sempervirens;Cyperaceae;130921-02;13/09/2021;Fellfield;5.44;99;66;66.67;65;98.48;0;89.39;9.09;0;241.8833333;663;0.00397;0.394
Temperate;Carex sempervirens;Cyperaceae;130921-02;13/09/2021;Snowbed;5.44;90;73;81.11;72;98.63;0;0;98.63;0;281.925;546.75;0.00344;0.482
Temperate;Carex sempervirens;Cyperaceae;310821-13;31/08/2021;Fellfield;5.44;100;90;90;90;100;0;93.33;6.67;0;247.8291667;725;0.00397;0.232
Temperate;Carex sempervirens;Cyperaceae;310821-13;31/08/2021;Snowbed;5.44;99;86;86.87;86;100;0;0;100;0;283.8737041;549.875;0.00348;0.705
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;150721-05;15/07/2021;Fellfield;0.04;100;95;95;20;21.05;21.05;0;0;0;NA;NA;0.0143;1
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;150721-05;15/07/2021;Snowbed;0.04;100;98;98;20;20.41;20.41;0;0;0;NA;NA;0.014;0.7
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;280721-02;28/07/2021;Fellfield;0.04;150;134;90;114;85.525;84.955;0;0.57;0;30.19182638;436.625;0.012855;0.8065
Mediterranean;Cerastium ramosissimum;Caryophyllaceae;280721-02;28/07/2021;Snowbed;0.04;150;136;93;105;73.605;73.605;0;0;0;32.52339758;404.4375;0.013605;0.744
