species;community;family;accession;code;abundance;recolection;incubator;total_seeds;viable_seeds;viablePER;seeds_germ;germPER;autumn_germ ;spring_germ ;summer_germ ;winter_germ;t50;HS;MGT;Syn
Agrostis tileni;Mediterranean;Poaceae;250821-06;250821-06;0.43;25/08/2021;Fellfield;66;9;13.64;9;100;0;100;0;0;225.4583333;574.3333333;0.00439;0.867
Agrostis tileni;Mediterranean;Poaceae;250821-06;250821-06;0.43;25/08/2021;Snowbed;75;5;6.67;5;100;0;0;100;0;301.6666667;817.5;0.00333;1
Androsace villosa;Temperate;Primulaceae;300821-03;300821-03;0.85;30/08/2021;Fellfield;100;98;98;0;0;0;0;0;0;NA;NA;NA;NA
Androsace villosa;Temperate;Primulaceae;300821-03;300821-03;0.85;30/08/2021;Snowbed;100;99;99;0;0;0;0;0;0;NA;NA;NA;NA
Androsace villosa;Temperate;Primulaceae;310821-11;310821-11;0.85;31/08/2021;Fellfield;100;90;90;0;0;0;0;0;0;NA;NA;NA;NA
Androsace villosa;Temperate;Primulaceae;310821-11;310821-11;0.85;31/08/2021;Snowbed;100;87;87;2;2.3;0;0;2.3;0;NA;NA;0.0032;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04;2.71;30/08/2021;Fellfield;100;13;13;1;7.69;7.69;0;0;0;NA;NA;0.0625;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04;2.71;30/08/2021;Snowbed;100;35;35;2;5.71;5.71;0;0;0;NA;NA;0.0625;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04b;2.71;30/08/2021;Fellfield;50;44;88;0;0;0;0;0;0;NA;NA;NA;NA
Anthyllis vulneraria;Temperate;Fabaceae;300821-04;300821-04b;2.71;30/08/2021;Snowbed;49;32;65.31;1;3.12;0;3.12;0;3.12;NA;NA;0.004291845;NA
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12;2.71;31/08/2021;Fellfield;100;24;24;2;8.33;4.17;0;4.17;0;NA;NA;0.006451613;0
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12;2.71;31/08/2021;Snowbed;100;40;40;0;0;0;0;0;0;NA;NA;NA;NA
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12b;2.71;31/08/2021;Fellfield;50;46;92;1;2.17;0;2.17;0;0;NA;NA;0.004926108;Na
Anthyllis vulneraria;Temperate;Fabaceae;310821-12;310821-12b;2.71;31/08/2021;Snowbed;50;41;82;0;0;0;0;0;0;NA;NA;NA;Na
Arenaria erinacea;Temperate;Caryophyllaceae;300821-08;300821-08;0.16;30/08/2021;Fellfield;99;97;97.98;22;22.68;22.68;0;0;0;NA;NA;0.0403;0.357
Arenaria erinacea;Temperate;Caryophyllaceae;300821-08;300821-08;0.16;30/08/2021;Snowbed;100;97;97;3;3.09;2.06;0;1.03;0;NA;NA;0.0299;NA
Arenaria moehringioides;Temperate;Caryophyllaceae;140921-02;140921-02;0.04;14/09/2021;Fellfield;60;52;86.67;24;46.15;3.85;36.54;5.77;0;272;1082.5;0.00521;0.137
Arenaria moehringioides;Temperate;Caryophyllaceae;140921-02;140921-02;0.04;14/09/2021;Snowbed;60;44;73.33;16;36.36;0;18.18;18.18;18.18;294;792;0.00402;0.194
