;community;species;abundance;family;code;recolection;incubator;total;viable;viablePER;total_germ;germPER;autumn_germ;winter_germ;spring_germ;summer_germ;t50lm;HS
1;Mediterranean;Agrostis tileni;0.43;Poaceae;250821-06;25/08/2021;Fellfield;66;9;13.64;9;100;0;0;100;0;225.4583333;574.3333333
2;Mediterranean;Agrostis tileni;0.43;Poaceae;250821-06;25/08/2021;Snowbed;75;5;6.67;5;100;0;0;80;20;301.6666667;817.5
3;Temperate;Androsace villosa;0.85;Primulaceae;300821-03;30/08/2021;Fellfield;100;98;98;0;0;0;0;0;0;NA;NA
4;Temperate;Androsace villosa;0.85;Primulaceae;300821-03;30/08/2021;Snowbed;100;99;99;0;0;0;0;0;0;NA;NA
5;Temperate;Androsace villosa;0.85;Primulaceae;310821-11;31/08/2021;Fellfield;100;90;90;0;0;0;0;0;0;NA;NA
6;Temperate;Androsace villosa;0.85;Primulaceae;310821-11;31/08/2021;Snowbed;100;87;87;2;2.3;0;0;0;2.3;NA;NA
7;Temperate;Anthyllis vulneraria;2.71;Fabaceae;300821-04;30/08/2021;Fellfield;100;13;13;1;7.69;7.69;7.69;0;0;NA;NA
8;Temperate;Anthyllis vulneraria;2.71;Fabaceae;300821-04;30/08/2021;Snowbed;100;35;35;2;5.71;5.71;5.71;0;0;NA;NA
9;Temperate;Anthyllis vulneraria;2.71;Fabaceae;310821-12;31/08/2021;Fellfield;100;24;24;2;8.33;4.17;4.17;0;4.17;NA;NA
10;Temperate;Anthyllis vulneraria;2.71;Fabaceae;310821-12;31/08/2021;Snowbed;100;40;40;0;0;0;0;0;0;NA;NA
11;Temperate;Arenaria erinacea;0.16;Caryophyllaceae;300821-08;30/08/2021;Fellfield;99;97;97.98;22;22.68;22.68;22.68;0;0;NA;NA
12;Temperate;Arenaria erinacea;0.16;Caryophyllaceae;300821-08;30/08/2021;Snowbed;100;97;97;3;3.09;2.06;2.06;0;1.03;NA;NA
13;Temperate;Arenaria moehringioides;0.04;Caryophyllaceae;140921-02;14/09/2021;Fellfield;60;52;86.67;24;46.15;3.85;3.85;38.46;3.85;272;1082.5
14;Temperate;Arenaria moehringioides;0.04;Caryophyllaceae;140921-02;14/09/2021;Snowbed;60;44;73.33;16;36.36;0;0;0;18.18;294;792
15;Temperate;Armeria cantabrica;1.37;Plumbaginaceae;130921-15;13/09/2021;Fellfield;91;71;78.02;66;92.96;1.41;1.41;56.34;35.21;251.9041667;836.375
