species;code;incubator;total;viable;viablePER;germPER;Autumngerm;Wintergerm;Springgerm;Summergerm
Agrostis tileni;250821-06;Fellfield;66;9;13.64;100.00;0.00;0.00;100.00;0.00
Agrostis tileni;250821-06;Snowbed;75;5;6.67;100.00;0.00;0.00;0.00;100.00
Androsace villosa;300821-03;Fellfield;100;98;98.00;0.00;0.00;0.00;0.00;0.00
Androsace villosa;300821-03;Snowbed;100;99;99.00;0.00;0.00;0.00;0.00;0.00
Androsace villosa;310821-11;Fellfield;100;90;90.00;0.00;0.00;0.00;0.00;0.00
Androsace villosa;310821-11;Snowbed;100;87;87.00;2.28;0.00;0.00;0.00;2.28
Anthyllis vulneraria;300821-04;Fellfield;100;13;13.00;8.33;8.33;0.00;0.00;0.00
Anthyllis vulneraria;300821-04;Snowbed;100;35;35.00;5.05;5.05;0.00;0.00;0.00
Anthyllis vulneraria;310821-12;Fellfield;100;24;24.00;10.00;5.00;0.00;0.00;5.00
Anthyllis vulneraria;310821-12;Snowbed;100;40;40.00;0.00;0.00;0.00;0.00;0.00
Arenaria erinacea;300821-08;Fellfield;99;97;97.96;22.69;22.69;0.00;0.00;0.00
Arenaria erinacea;300821-08;Snowbed;100;97;97.00;3.09;2.09;0.00;0.00;1.00
Arenaria moehringioides;140921-02;Fellfield;60;52;86.67;45.79;4.44;0.00;35.89;5.46
Arenaria moehringioides;140921-02;Snowbed;60;44;73.33;37.20;0.00;18.45;0.00;18.75
Armeria cantabrica;130921-15;Fellfield;91;71;77.95;93.68;1.19;0.00;37.58;54.91
Armeria cantabrica;130921-15;Snowbed;97;78;80.45;94.97;0.00;14.42;1.09;79.46
Armeria cantabrica;140921-07;Fellfield;11;4;36.36;100.00;0.00;0.00;75.00;25.00
Armeria cantabrica;140921-07;Snowbed;11;3;27.27;100.00;0.00;0.00;0.00;100.00
Armeria duriaei;240821-01;Fellfield;100;88;88.00;100.00;100.00;0.00;0.00;0.00
Armeria duriaei;240821-01;Snowbed;100;88;88.00;98.81;92.97;0.00;0.00;5.85
Armeria duriaei;250821-01;Fellfield;99;82;82.83;100.00;98.75;0.00;0.00;1.25
Armeria duriaei;250821-01;Snowbed;99;84;84.83;98.61;93.20;2.78;0.00;2.64
Carex sempervirens;130921-02;Fellfield;99;66;66.50;98.22;0.00;0.00;89.05;9.17
Carex sempervirens;130921-02;Snowbed;90;73;80.39;97.92;0.00;0.00;0.00;97.92
Carex sempervirens;310821-13;Fellfield;100;90;90.00;100.00;0.00;0.00;93.70;6.31
Carex sempervirens;310821-13;Snowbed;99;86;86.83;100.00;0.00;0.00;0.00;100.00
Cerastium sp;150721-05;Fellfield;100;95;95.00;20.70;20.70;0.00;0.00;0.00
Cerastium sp;150721-05;Snowbed;100;98;98.00;20.52;20.52;0.00;0.00;0.00
Cerastium sp;280721-02;Fellfield;100;88;88.00;84.94;83.90;0.00;0.00;1.04
Cerastium sp;280721-02;Snowbed;100;86;86.00;88.00;88.00;0.00;0.00;0.00
Conopodium majus;240821-03;Fellfield;99;28;28.17;95.83;0.00;60.42;35.42;0.00
Conopodium majus;240821-03;Snowbed;100;53;53.00;100.00;0.00;98.33;0.00;1.67
Conopodium majus;250821-04;Fellfield;100;56;56.00;100.00;0.00;97.06;2.94;0.00
Conopodium majus;250821-04;Snowbed;100;64;64.00;98.44;0.00;98.44;0.00;0.00
Dethawia splendens;310821-07;Fellfield;79;59;74.67;94.49;0.00;8.06;86.43;0.00
Dethawia splendens;310821-07;Snowbed;76;49;64.50;100.00;0.00;90.00;7.50;2.50
Dianthus langeanus;110821-01;Fellfield;100;99;99.00;100.00;99.00;0.00;1.00;0.00
