species;code;incubator;total;viable;viablePER;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep
Agrostis tileni;250821-06;Fellfield;66;9;13.64;100;0;0;100;0;100;0
Agrostis tileni;250821-06;Snowbed;75;5;6.67;100;0;0;66.67;0;0;100
Androsace villosa;300821-03;Fellfield;100;98;98;0;0;0;0;0;0;0
Androsace villosa;300821-03;Snowbed;100;99;99;0;0;0;0;0;0;0
Androsace villosa;310821-11;Fellfield;100;90;90;0;0;0;0;0;0;0
Androsace villosa;310821-11;Snowbed;100;87;87;2.28;0;0;0;2.28;0;2.28
Anthyllis vulneraria;300821-04;Fellfield;100;13;13;8.33;8.33;0;0;0;0;0
Anthyllis vulneraria;300821-04;Snowbed;100;35;35;5.05;5.05;0;0;0;0;0
Anthyllis vulneraria;310821-12;Fellfield;100;24;24;10;5;0;0;5;0;5
Anthyllis vulneraria;310821-12;Snowbed;100;40;40;0;0;0;0;0;0;0
Arenaria erinacea;300821-08;Fellfield;99;97;97.96;22.69;22.69;0;0;0;0;0
Arenaria erinacea;300821-08;Snowbed;100;97;97;3.09;2.09;0;0;1;0;1
Arenaria moehringioides;140921-02;Fellfield;60;52;86.67;45.79;4.44;0;34.13;7.21;35.89;5.46
Arenaria moehringioides;140921-02;Snowbed;60;44;73.33;37.2;0;18.45;6.84;18.75;0;18.75
Armeria cantabrica;130921-15;Fellfield;91;71;77.95;93.68;1.19;0;30.69;66.58;37.58;54.91
Armeria cantabrica;130921-15;Snowbed;97;78;80.45;94.97;0;14.42;6.82;72.09;1.09;79.46
Armeria cantabrica;140921-07;Fellfield;11;4;36.36;100;0;0;75;25;75;25
Armeria cantabrica;140921-07;Snowbed;11;3;27.27;100;0;0;0;100;0;100
Armeria duriaei;240821-01;Fellfield;100;88;88;100;100;0;0;0;0;0
Armeria duriaei;240821-01;Snowbed;100;88;88;98.81;92.97;0;0;2.38;0;5.85
Armeria duriaei;250821-01;Fellfield;99;82;82.83;100;98.75;0;0;1.25;0;1.25
Armeria duriaei;250821-01;Snowbed;99;84;84.83;98.61;93.2;2.78;0;1.39;0;2.64
Carex sempervirens;130921-02;Fellfield;99;66;66.5;98.22;0;0;39.23;58.99;89.05;9.17
Carex sempervirens;130921-02;Snowbed;90;73;80.39;97.92;0;0;0;97.92;0;97.92
Carex sempervirens;310821-13;Fellfield;100;90;90;100;0;0;50.53;49.47;93.7;6.31
