species;code;incubator;petridish;total;viable;viablePER;germPER;Mid_November;Wintergerm;Mid_June;Mid_September;t50lm;HS;coldstratgerm;Uncertainty
Agrostis tileni;250821-06;Fellfield;2;22;2;9.09;100;0;0;100;0;213.5;496.5;100;0
Agrostis tileni;250821-06;Fellfield;3;22;5;22.73;100;0;0;100;0;214.38;501;100;0.721
Agrostis tileni;250821-06;Fellfield;4;22;2;9.09;100;0;0;100;0;248.5;744;100;0
Agrostis tileni;250821-06;Snowbed;1;25;1;4;100;0;0;0;100;272;410;100;0
Agrostis tileni;250821-06;Snowbed;3;25;1;4;100;0;0;0;100;361;1634.5;100;0
Agrostis tileni;250821-06;Snowbed;4;25;3;12;100;0;0;0;100;272;410;100;0
Androsace villosa;300821-03;Fellfield;1;25;24;96;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;2;25;25;100;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;3;25;25;100;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;4;25;24;96;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;1;25;25;100;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;2;25;24;96;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;3;25;25;100;0;0;0;0;0;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;4;25;25;100;0;0;0;0;0;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;1;25;23;92;0;0;0;0;0;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;2;25;22;88;0;0;0;0;0;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;3;25;22;88;0;0;0;0;0;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;4;25;23;92;0;0;0;0;0;NA;NA;0;0
Androsace villosa;310821-11;Snowbed;1;25;22;88;4.55;0;0;0;4.55;NA;NA;100;0
Androsace villosa;310821-11;Snowbed;2;25;22;88;0;0;0;0;0;NA;NA;0;0
Androsace villosa;310821-11;Snowbed;3;25;22;88;4.55;0;0;0;4.55;NA;NA;100;0
Androsace villosa;310821-11;Snowbed;4;25;21;84;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;1;25;3;12;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;2;25;3;12;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;3;25;4;16;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;4;25;3;12;33.33;33.33;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;1;25;7;28;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;2;25;8;32;12.5;12.5;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;3;25;13;52;7.69;7.69;0;0;0;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;4;25;7;28;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;1;25;7;28;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;2;25;6;24;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;3;25;6;24;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;4;25;5;20;40;20;0;0;20;NA;NA;50;1
Anthyllis vulneraria;310821-12;Snowbed;1;25;14;56;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;2;25;5;20;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;3;25;11;44;0;0;0;0;0;NA;NA;0;0
Anthyllis vulneraria;310821-12;Snowbed;4;25;10;40;0;0;0;0;0;NA;NA;0;0
Arenaria erinacea;300821-08;Fellfield;1;25;25;100;28;28;0;0;0;NA;NA;0;0.985
Arenaria erinacea;300821-08;Fellfield;2;25;24;96;25;25;0;0;0;NA;NA;0;1.459
