species;code;incubator;petridish;total;viable;viablePER;seeds_germ;germPER;Mid_nov;Winter_germ;spring_germ;summer_germ;Mid_june;Mid_sep;datesow;datelast;t50lm;date50;HS;coldstratgerm;Uncertainty
Agrostis tileni;250821-06;Fellfield;2;22;2;9.09;2;100;0;0;100;0;100;0;20/09/2021;25/04/2022;213.5;20/04/2022;496.5;100;0
Agrostis tileni;250821-06;Fellfield;3;22;5;22.73;5;100;0;0;100;0;100;0;20/09/2021;02/05/2022;214.375;21/04/2022;501;100;0.721
Agrostis tileni;250821-06;Fellfield;4;22;2;9.09;2;100;0;0;100;0;100;0;20/09/2021;30/05/2022;248.5;25/05/2022;744;100;0
Agrostis tileni;250821-06;Snowbed;1;25;1;4;1;100;0;0;100;0;0;100;20/09/2021;23/06/2022;272;18/06/2022;410;100;0
Agrostis tileni;250821-06;Snowbed;3;25;1;4;1;100;0;0;0;0;0;100;20/09/2021;19/09/2022;361;15/09/2022;1634.5;100;0
Agrostis tileni;250821-06;Snowbed;4;25;3;12;3;100;0;0;100;0;0;100;20/09/2021;23/06/2022;272;18/06/2022;410;100;0
Androsace villosa;300821-03;Fellfield;1;25;24;96;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;2;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;3;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Fellfield;4;25;24;96;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;1;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;2;25;24;96;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;3;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;300821-03;Snowbed;4;25;25;100;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;1;25;23;92;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;2;25;22;88;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;3;25;22;88;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Fellfield;4;25;23;92;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Snowbed;1;25;22;88;1;4.55;0;0;0;4.55;0;4.55;24/09/2021;19/09/2022;NA;NA;NA;100;0
Androsace villosa;310821-11;Snowbed;2;25;22;88;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Androsace villosa;310821-11;Snowbed;3;25;22;88;1;4.55;0;0;0;4.55;0;4.55;24/09/2021;19/09/2022;NA;NA;NA;100;0
Androsace villosa;310821-11;Snowbed;4;25;21;84;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;1;25;3;12;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;2;25;3;12;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;3;25;4;16;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Fellfield;4;25;3;12;1;33.33;33.33;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;1;25;7;28;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;2;25;8;32;1;12.5;12.5;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;3;25;13;52;1;7.69;7.69;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;300821-04;Snowbed;4;25;7;28;0;0;0;0;0;0;0;0;21/09/2021;19/09/2022;NA;NA;NA;0;0
Anthyllis vulneraria;310821-12;Fellfield;1;25;7;28;0;0;0;0;0;0;0;0;24/09/2021;19/09/2022;NA;NA;NA;0;0
