species;code;incubator;viable;viablePER;seeds_germ;germPER;snowgerm;snowPER;t50lm;t50check;Env_Heat_sum1;Env_Heat_sum2;BWseedsgerm;BWgermPER;firstgerm_days;datesow;date50;onset_date
Agrostis tileni;250821-06;Fellfield;9;13.64;9;100.00;NA;NA;225.33;228.67;582.00;582.00;0;0.00;217.00;20/09/2021;21/04/2022;24/04/2022
Agrostis tileni;250821-06;Snowbed;5;6.67;5;100.00;0.00;0.00;301.67;305.33;818.17;818.17;0;0.00;276.00;20/09/2021;18/06/2022;22/06/2022
Androsace villosa;300821-03;Fellfield;98;98.00;0;0.00;NA;NA;430.00;430.00;2572.50;3500.00;0;0.00;430.00;21/09/2021;19/09/2022;24/11/2022
Androsace villosa;300821-03;Snowbed;99;99.00;0;0.00;0.00;0.00;430.00;430.00;1666.00;3500.00;0;0.00;430.00;21/09/2021;19/09/2022;24/11/2022
Androsace villosa;310821-11;Fellfield;90;90.00;0;0.00;NA;NA;430.00;430.00;2535.00;3500.00;0;0.00;430.00;24/09/2021;19/09/2022;27/11/2022
Androsace villosa;310821-11;Snowbed;87;87.00;2;2.28;0.00;0.00;430.00;430.00;1640.50;3500.00;0;0.00;299.00;24/09/2021;19/09/2022;19/07/2022
Anthyllis vulneraria;300821-04;Fellfield;13;13.00;1;8.33;NA;NA;430.00;430.00;2572.50;3500.00;1;8.33;16.00;21/09/2021;19/09/2022;06/10/2021
Anthyllis vulneraria;300821-04;Snowbed;35;35.00;2;5.05;0.00;0.00;430.00;430.00;1666.00;3500.00;2;5.05;16.00;21/09/2021;19/09/2022;06/10/2021
Anthyllis vulneraria;310821-12;Fellfield;24;24.00;2;10.00;NA;NA;430.00;430.00;2535.00;3500.00;1;5.00;14.00;24/09/2021;19/09/2022;07/10/2021
Anthyllis vulneraria;310821-12;Snowbed;40;40.00;0;0.00;0.00;0.00;430.00;430.00;1640.50;3500.00;0;0.00;430.00;24/09/2021;19/09/2022;27/11/2022
Arenaria erinacea;300821-08;Fellfield;97;97.96;22;22.69;NA;NA;430.00;430.00;2535.00;3500.00;22;22.69;14.00;24/09/2021;19/09/2022;07/10/2021
Arenaria erinacea;300821-08;Snowbed;97;97.00;3;3.09;0.00;0.00;430.00;430.00;1640.50;3500.00;2;2.09;33.00;24/09/2021;19/09/2022;26/10/2021
Arenaria moehringioides;140921-02;Fellfield;52;86.67;24;45.79;NA;NA;377.33;377.33;1955.50;2692.17;2;4.44;27.04;06/10/2021;04/07/2022;01/11/2021
Arenaria moehringioides;140921-02;Snowbed;44;73.33;16;37.20;6.00;43.65;384.67;384.67;1293.50;2594.50;0;0.00;218.00;06/10/2021;26/07/2022;11/05/2022
Armeria cantabrica;130921-15;Fellfield;71;77.95;66;93.68;NA;NA;252.00;256.50;840.50;840.50;1;1.19;13.00;05/10/2021;28/05/2022;17/10/2021
Armeria cantabrica;130921-15;Snowbed;78;80.45;74;94.97;10.00;12.12;274.00;276.75;564.38;564.38;0;0.00;206.00;05/10/2021;01/07/2022;11/05/2022
Armeria cantabrica;140921-07;Fellfield;4;36.36;4;100.00;NA;NA;224.00;228.00;473.50;473.50;0;0.00;221.00;08/10/2021;19/05/2022;16/05/2022
Armeria cantabrica;140921-07;Snowbed;3;27.27;3;100.00;0.00;0.00;282.00;285.00;618.50;618.50;0;0.00;272.00;08/10/2021;16/07/2022;06/07/2022
Armeria duriaei;240821-01;Fellfield;88;88.00;88;100.00;NA;NA;7.50;14.00;111.00;111.00;88;100.00;14.00;10/09/2021;16/09/2021;23/09/2021
Armeria duriaei;240821-01;Snowbed;88;88.00;87;98.81;NA;NA;12.75;20.00;130.75;130.75;82;92.97;14.00;10/09/2021;16/09/2021;23/09/2021
Armeria duriaei;250821-01;Fellfield;82;82.83;82;100.00;NA;NA;7.25;12.00;95.13;95.13;81;98.75;12.00;17/09/2021;22/09/2021;28/09/2021
Armeria duriaei;250821-01;Snowbed;84;84.83;83;98.61;NA;NA;17.75;27.00;146.13;146.13;79;93.20;12.00;17/09/2021;24/09/2021;28/09/2021
Carex sempervirens;130921-02;Fellfield;66;66.50;65;98.22;NA;NA;241.75;244.00;664.13;664.13;0;0.00;237.00;28/09/2021;21/05/2022;22/05/2022
Carex sempervirens;130921-02;Snowbed;73;80.39;72;97.92;0.00;0.00;282.00;283.75;547.50;547.50;0;0.00;282.00;28/09/2021;04/07/2022;06/07/2022
Carex sempervirens;310821-13;Fellfield;90;90.00;90;100.00;NA;NA;248.00;251.50;734.75;734.75;0;0.00;241.00;24/09/2021;27/05/2022;22/05/2022
Carex sempervirens;310821-13;Snowbed;86;86.83;86;100.00;0.00;0.00;284.00;286.75;554.63;554.63;0;0.00;285.00;24/09/2021;02/07/2022;05/07/2022
Cerastium sp;150721-05;Fellfield;95;95.00;20;20.70;NA;NA;430.00;430.00;3441.00;3500.00;20;20.70;70.00;30/07/2021;19/09/2022;07/10/2021
Cerastium sp;150721-05;Snowbed;98;98.00;20;20.52;0.00;0.00;430.00;430.00;2485.00;3500.00;20;20.52;41.00;30/07/2021;19/09/2022;08/09/2021
Cerastium sp;280721-02;Fellfield;88;88.00;74;84.94;NA;NA;49.00;62.75;809.75;809.75;73;83.90;41.00;30/07/2021;08/09/2021;08/09/2021
Cerastium sp;280721-02;Snowbed;86;86.00;75;88.00;NA;NA;48.00;70.00;767.88;767.88;75;88.00;41.00;30/07/2021;11/09/2021;08/09/2021
Conopodium majus;240821-03;Fellfield;28;28.17;27;95.83;NA;NA;212.50;214.75;604.00;604.00;0;0.00;213.00;10/09/2021;07/04/2022;10/04/2022
Conopodium majus;240821-03;Snowbed;53;53.00;53;100.00;52.00;98.33;242.25;243.00;406.50;406.50;0;0.00;243.00;10/09/2021;09/05/2022;10/05/2022
Conopodium majus;250821-04;Fellfield;56;56.00;56;100.00;NA;NA;202.25;206.00;491.13;491.13;0;0.00;206.00;17/09/2021;06/04/2022;10/04/2022
Conopodium majus;250821-04;Snowbed;64;64.00;63;98.44;63.00;100.00;235.25;236.00;325.50;325.50;0;0.00;236.00;17/09/2021;09/05/2022;10/05/2022
Dethawia splendens;310821-07;Fellfield;59;74.67;56;94.49;NA;NA;212.75;216.50;465.25;465.25;0;0.00;199.00;24/09/2021;19/04/2022;10/04/2022
Dethawia splendens;310821-07;Snowbed;49;64.50;49;100.00;37.00;72.70;230.75;230.75;260.25;260.25;0;0.00;229.00;24/09/2021;10/05/2022;10/05/2022
Dianthus langeanus;110821-01;Fellfield;99;99.00;99;100.00;NA;NA;3.75;6.00;63.00;63.00;98;99.00;6.00;03/09/2021;05/09/2021;08/09/2021
Dianthus langeanus;110821-01;Snowbed;95;95.00;95;100.00;NA;NA;3.25;6.00;54.25;54.25;95;100.00;6.00;03/09/2021;05/09/2021;08/09/2021
Dianthus langeanus;120821-02;Fellfield;99;99.00;99;100.00;NA;NA;3.75;6.00;63.00;63.00;99;100.00;6.00;03/09/2021;05/09/2021;08/09/2021
Dianthus langeanus;120821-02;Snowbed;97;97.00;97;100.00;NA;NA;7.75;13.25;107.25;107.25;92;94.88;6.00;03/09/2021;06/09/2021;08/09/2021
Erigeron alpinus;310821-15;Fellfield;98;98.00;98;100.00;NA;NA;219.75;221.25;470.25;470.25;0;0.00;202.00;28/09/2021;29/04/2022;17/04/2022
Erigeron alpinus;310821-15;Snowbed;99;99.00;99;100.00;0.00;0.00;261.50;266.00;326.75;326.75;0;0.00;232.00;28/09/2021;12/06/2022;17/05/2022
Euphrasia salisburgensis;011021-01;Fellfield;100;100.00;1;1.00;NA;NA;430.00;430.00;2321.00;3500.00;1;1.00;202.00;13/10/2021;19/09/2022;02/05/2022
Euphrasia salisburgensis;011021-01;Snowbed;100;100.00;1;1.00;1.00;25.00;430.00;430.00;1501.50;3500.00;1;1.00;211.00;13/10/2021;19/09/2022;11/05/2022
Euphrasia salisburgensis;300921-01;Fellfield;96;96.00;2;2.04;NA;NA;430.00;430.00;2321.00;3500.00;2;2.04;341.00;13/10/2021;19/09/2022;18/09/2022
Euphrasia salisburgensis;300921-01;Snowbed;99;99.00;0;0.00;0.00;0.00;430.00;430.00;1501.50;3500.00;0;0.00;430.00;13/10/2021;19/09/2022;16/12/2022
Festuca hystrix;130921-16;Fellfield;17;85.00;17;100.00;NA;NA;20.00;27.04;180.50;180.50;16;94.12;12.00;06/10/2021;25/10/2021;17/10/2021
Festuca hystrix;130921-16;Snowbed;19;95.00;14;73.68;3.00;21.43;217.00;218.00;168.00;168.00;8;42.11;27.04;06/10/2021;10/05/2022;01/11/2021
Festuca hystrix;300821-01;Fellfield;8;57.14;8;100.00;NA;NA;11.00;16.00;132.50;132.50;8;100.00;16.00;21/09/2021;01/10/2021;06/10/2021
Festuca hystrix;300821-01;Snowbed;4;28.57;4;100.00;NA;NA;29.00;35.00;203.50;203.50;4;100.00;35.00;21/09/2021;19/10/2021;25/10/2021
Festuca rubra;310821-02;Fellfield;1;4.00;1;100.00;NA;NA;240.00;243.00;660.50;660.50;0;0.00;243.00;22/09/2021;19/05/2022;22/05/2022
Festuca summilusitana;240821-02;Fellfield;59;59.00;59;100.00;NA;NA;14.50;24.00;185.88;185.88;59;100.00;14.00;15/09/2021;25/09/2021;28/09/2021
Festuca summilusitana;240821-02;Snowbed;59;59.67;59;100.00;NA;NA;22.25;34.00;186.88;186.88;58;98.44;14.00;15/09/2021;30/09/2021;28/09/2021
Festuca summilusitana;250821-02;Fellfield;42;42.00;42;100.00;NA;NA;22.50;32.00;270.50;270.50;42;100.00;12.00;17/09/2021;07/10/2021;28/09/2021
Festuca summilusitana;250821-02;Snowbed;48;48.61;48;100.00;NA;NA;24.00;32.00;192.00;192.00;44;90.77;12.00;17/09/2021;09/10/2021;28/09/2021
Gentiana verna;130921-06;Fellfield;56;56.00;9;15.27;NA;NA;430.00;430.00;2474.50;3500.00;0;0.00;209.00;29/09/2021;19/09/2022;25/04/2022
Gentiana verna;130921-06;Snowbed;68;69.31;11;16.68;0.00;0.00;430.00;430.00;1600.00;3500.00;0;0.00;232.00;29/09/2021;19/09/2022;18/05/2022
