species;code;viable;viablePER;seeds_germ;germPER;snowgerm;snowPER;delayS_F
Agrostis tileni;250821-06;14;10.15;14;100;0;0;76.33
Androsace villosa;300821-03;197;98.5;0;0;0;0;NA
Androsace villosa;310821-11;177;88.5;2;1.14;0;0;NA
Anthyllis vulneraria;300821-04;48;24;3;6.69;0;0;NA
Anthyllis vulneraria;310821-12;64;32;2;5;0;0;NA
Arenaria erinacea;300821-08;194;97.48;25;12.89;0;0;NA
Arenaria moehringioides;140921-02;96;80;40;41.5;6;43.65;NA
Armeria cantabrica;130921-15;149;79.2;140;94.32;10;12.12;22
Armeria cantabrica;140921-07;7;31.81;7;100;0;0;58
Armeria duriaei;240821-01;176;88;175;99.4;0;0;5.25
Armeria duriaei;250821-01;166;83.83;165;99.31;2;5.88;10.5
Carex sempervirens;130921-02;139;73.44;137;98.07;0;0;40.25
Carex sempervirens;310821-13;176;88.42;176;100;0;0;36
Cerastium sp;150721-05;193;96.5;40;20.61;0;0;NA
Cerastium sp;280721-02;174;87;149;86.47;0;0;-1
Conopodium majus;240821-03;81;40.58;80;97.92;52;98.33;29.75
Conopodium majus;250821-04;120;60;119;99.22;63;100;33
Dethawia splendens;310821-07;108;69.59;105;97.24;37;72.7;18
Dianthus langeanus;120821-02;196;98;196;100;4;8.16;4
Erigeron alpinus;310821-15;197;98.5;197;100;0;0;41.75
Euphrasia salisburgensis;011021-01;200;100;2;1;1;25;NA
Euphrasia salisburgensis;300921-01;195;97.5;2;1.02;0;0;NA
Festuca hystrix;130921-16;36;90;31;86.84;3;21.43;197
Festuca summilusitana;240821-02;118;59.33;118;100;1;6.25;7.75
Festuca summilusitana;250821-02;90;45.3;90;100;1;2.38;1.5
Gentiana verna;130921-06;124;62.65;20;15.97;0;0;NA
Gentiana verna;140921-06;153;76.85;2;1.39;1;25;NA
Gentianella campestris;300921-03;197;98.5;0;0;0;0;NA
Gypsophila repens;300821-10;131;67.15;127;97.22;0;0;52.5
Gypsophila repens;310821-08;211;93.5;183;91.68;1;1.45;50.5
Helianthemum canum;300821-05;164;82;59;36.16;0;0;NA
Helianthemum canum;310821-05;160;80;24;15.08;2;12.5;NA
